BL_ID;BL;AGS;Name;Total;Male;Female;;
01;Schleswig-Holstein;01051138;Tensbüttel-Röst;  687;  336;  351;;
01;Schleswig-Holstein;01051139;Süderdorf;  372;  183;  189;;
01;Schleswig-Holstein;01051140;Oesterwurth;  269;  141;  128;;
01;Schleswig-Holstein;01051141;Süderheistedt;  563;  279;  284;;
01;Schleswig-Holstein;01053001;Albsfelde;  66;  34;  32;;
01;Schleswig-Holstein;01053002;Alt Mölln;  865;  416;  449;;
01;Schleswig-Holstein;01053003;Aumühle; 3 162; 1 471; 1 691;;
01;Schleswig-Holstein;01053004;Bäk;  870;  417;  453;;
01;Schleswig-Holstein;01053005;Bälau;  245;  110;  135;;
01;Schleswig-Holstein;01053006;Basedow;  651;  339;  312;;
01;Schleswig-Holstein;01053007;Basthorst;  398;  202;  196;;
01;Schleswig-Holstein;01053008;Behlendorf;  376;  186;  190;;
01;Schleswig-Holstein;01053009;Berkenthin; 2 070; 1 019; 1 051;;
01;Schleswig-Holstein;01053010;Besenthal;  79;  43;  36;;
01;Schleswig-Holstein;01053011;Bliestorf;  668;  320;  348;;
01;Schleswig-Holstein;01053012;Börnsen; 4 286; 2 139; 2 147;;
01;Schleswig-Holstein;01053013;Borstorf;  280;  137;  143;;
01;Schleswig-Holstein;01053014;Breitenfelde; 1 867;  937;  930;;
01;Schleswig-Holstein;01053015;Bröthen;  279;  141;  138;;
01;Schleswig-Holstein;01053016;Brunsmark;  151;  75;  76;;
01;Schleswig-Holstein;01053017;Brunstorf;  632;  322;  310;;
01;Schleswig-Holstein;01053018;Buchholz;  239;  114;  125;;
01;Schleswig-Holstein;01053019;Buchhorst;  175;  83;  92;;
01;Schleswig-Holstein;01053020;Büchen; 5 662; 2 762; 2 900;;
01;Schleswig-Holstein;01053021;Dahmker;  159;  85;  74;;
01;Schleswig-Holstein;01053022;Dalldorf;  362;  182;  180;;
01;Schleswig-Holstein;01053023;Dassendorf; 3 100; 1 553; 1 547;;
01;Schleswig-Holstein;01053024;Düchelsdorf;  158;  83;  75;;
01;Schleswig-Holstein;01053025;Duvensee;  529;  247;  282;;
01;Schleswig-Holstein;01053026;Einhaus;  374;  180;  194;;
01;Schleswig-Holstein;01053027;Elmenhorst;  893;  448;  445;;
01;Schleswig-Holstein;01053028;Escheburg; 3 354; 1 665; 1 689;;
01;Schleswig-Holstein;01053029;Fitzen;  332;  172;  160;;
01;Schleswig-Holstein;01053030;Fredeburg;  40;  22;  18;;
01;Schleswig-Holstein;01053031;Fuhlenhagen;  284;  139;  145;;
01;Schleswig-Holstein;01053032;Geesthacht, Stadt; 28 852; 13 906; 14 946;;
01;Schleswig-Holstein;01053033;Giesensdorf;  125;  63;  62;;
01;Schleswig-Holstein;01053034;Göldenitz;  233;  121;  112;;
01;Schleswig-Holstein;01053035;Göttin;  60;  31;  29;;
01;Schleswig-Holstein;01053036;Grabau;  282;  141;  141;;
01;Schleswig-Holstein;01053037;Grambek;  419;  199;  220;;
01;Schleswig-Holstein;01053038;Grinau;  302;  158;  144;;
01;Schleswig-Holstein;01053039;Groß Boden;  192;  99;  93;;
