GENESIS-Tabelle: 449-01-5-B
Bodenfläche nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
31.12.2012;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche
;;;Siedlungs- und Verkehrsfläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Erholungsfläche;Erholungsfläche;Friedhofsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Abbauland;Flächen anderer Nutzung (ohne Friedhofsfläche);Flächen anderer Nutzung (ohne Friedhofsfläche)
;;;;Insgesamt;Wohnen;Gewerbe, Industrie;;Insgesamt;Grünanlage;;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;;;;Insgesamt;Unland
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
08426117;Tannheim;2768;247;123;67;9;1;6;1;1;117;89;1207;0;0;1253;55;0;6;6
08426118;Tiefenbach, Federsee;695;52;26;13;1;0;0;0;0;26;26;543;0;0;97;1;0;1;1
08426120;Ummendorf, Kr Biberach an der Riß;2065;302;166;89;18;1;15;6;2;118;110;1178;0;0;542;29;4;9;9
08426121;Unlingen;2687;271;131;67;8;6;7;0;1;125;121;1853;0;0;501;20;25;17;17
08426124;Uttenweiler;4978;457;208;80;20;3;13;5;1;232;232;3304;0;0;1163;25;0;28;28
08426125;Wain;2014;166;85;40;17;0;21;3;1;59;59;833;0;0;1006;4;0;4;4
08426128;Warthausen;2575;377;189;109;23;3;17;10;1;167;148;1343;0;0;820;16;11;8;8
08426134;Schemmerhofen;5018;678;364;203;37;6;18;4;1;290;274;3365;0;0;853;60;46;16;16
08426135;Gutenzell-Hürbel;3786;238;102;48;6;10;6;2;1;119;118;1515;0;0;1989;25;11;8;8
08435005;Bermatingen;1545;212;127;70;25;3;9;2;0;72;64;926;0;0;372;16;8;11;11
08435010;Daisendorf;244;49;36;30;0;0;1;0;0;12;12;98;0;0;90;7;0;1;1
08435013;Eriskirch;1458;193;120;67;15;0;6;3;1;66;60;658;0;0;576;26;0;5;5
08435015;Frickingen;2646;217;122;55;13;1;6;3;1;87;87;1765;0;0;638;13;3;12;12
08435016;Friedrichshafen, Stadt;6993;2053;1267;611;228;16;135;84;16;619;447;3514;1;0;1348;48;0;31;31
08435018;Hagnau am Bodensee;294;78;47;30;2;0;11;4;0;21;21;190;0;0;21;2;0;2;2
08435020;Heiligenberg;4077;258;134;49;8;1;5;3;0;117;117;2265;0;0;1535;3;9;8;8
08435024;Immenstaad am Bodensee;926;273;167;97;35;1;34;24;2;69;69;520;0;0;106;20;0;7;7
08435029;Kressbronn am Bodensee;2043;416;234;113;44;1;47;16;1;133;124;1231;0;0;284;69;26;16;16
08435030;Langenargen;1527;297;187;114;22;3;23;16;1;82;77;639;0;0;537;40;1;12;12
08435034;Markdorf;4091;560;347;180;54;1;21;5;5;186;176;2251;0;0;1247;18;0;15;13
08435035;Meckenbeuren;3189;632;376;184;40;4;28;16;4;219;159;1960;0;0;543;32;5;17;17
08435036;Meersburg;1208;239;138;87;12;1;9;7;2;89;88;557;0;0;404;2;0;5;5
08435042;Neukirch, b Tettnang;2658;208;123;48;9;1;4;0;1;79;79;1724;0;0;676;43;0;8;7
08435045;Oberteuringen;2007;221;134;71;12;2;12;6;1;71;71;1431;0;0;325;15;1;14;14
08435047;Owingen;3673;322;148;69;18;3;57;2;1;115;115;1943;0;0;1386;10;0;11;11
08435052;Salem, Baden;6270;686;396;199;38;2;42;24;3;243;226;3526;0;0;1912;106;14;26;26
08435053;Sipplingen;428;95;53;37;3;1;8;5;1;32;26;148;0;0;181;0;0;4;4
08435054;Stetten, b Meersburg, Bodensee;430;54;30;18;0;0;1;1;0;23;23;276;0;0;96;1;0;3;3
08435057;Tettnang;7122;929;573;276;78;4;52;18;5;295;292;4099;0;0;1937;114;5;37;37
08435059;Überlingen, Stadt;5867;1067;650;351;65;6;74;42;4;333;320;2964;0;0;1738;70;6;22;22
08435066;Uhldingen-Mühlhofen;1566;316;189;127;12;7;17;9;2;101;87;681;0;0;532;24;0;13;11
08435067;Deggenhausertal;6218;383;194;70;18;2;22;4;1;164;164;3628;0;0;2157;29;0;20;20
08436001;Achberg;1292;131;76;42;7;1;4;1;0;50;50;742;0;0;387;31;0;2;2
08436003;Aichstetten;3375;295;149;62;29;1;7;3;0;138;126;1655;0;0;1391;27;0;6;6
08436004;Aitrach;3020;288;135;67;34;2;17;12;1;133;120;919;0;0;1716;68;21;9;8
08436005;Altshausen;2048;290;161;76;38;3;18;10;2;106;93;1060;4;0;640;51;0;7;6
08436006;Amtzell;3057;312;176;76;22;3;11;3;1;122;122;2205;0;0;462;40;21;16;16
08436008;Aulendorf;5236;594;335;171;42;3;37;23;2;216;161;2944;19;0;1632;49;8;8;8
08436009;Bad Waldsee;10854;1382;691;341;108;15;179;28;7;491;451;6151;0;0;3180;101;12;27;27
08436010;Bad Wurzach;18226;1332;746;309;80;4;38;21;3;540;532;12016;1126;0;4619;195;31;33;33
08436011;Baienfurt;1601;318;199;95;62;2;11;3;2;104;93;735;0;0;517;25;1;6;6
08436012;Baindt;2307;248;138;81;20;1;12;8;1;96;91;769;0;0;1233;31;7;18;18
08436013;Berg, Kr Ravensburg;2841;271;157;76;11;3;8;4;1;102;102;2055;0;0;481;25;0;8;8
08436014;Bergatreute;2316;194;118;57;8;0;5;1;0;71;69;1487;0;0;600;24;1;10;10
08436018;Bodnegg;2456;240;143;57;14;0;12;7;0;85;85;1811;4;0;385;10;0;9;9
08436019;Boms;956;78;38;13;2;0;0;0;0;40;32;694;0;0;179;3;0;2;2
08436024;Ebenweiler;1013;87;43;23;5;1;4;1;1;39;39;624;0;0;276;23;0;3;3
08436027;Eichstegen;1425;83;33;9;1;0;0;0;0;49;40;893;1;0;431;12;0;6;6
08436032;Fleischwangen;580;47;25;10;2;1;2;0;0;19;19;401;0;0;128;2;0;2;2
08436039;Grünkraut;1716;192;121;47;23;1;6;3;1;62;62;1145;0;0;368;4;1;7;7
08436040;Guggenhausen;825;37;15;3;0;0;0;0;0;22;22;582;0;0;187;16;0;3;3
08436047;Hoßkirch;1581;91;40;16;2;0;2;0;0;48;42;867;1;0;588;21;9;5;5
08436049;Isny im Allgäu;8537;809;459;237;60;23;51;31;4;272;264;3806;1;0;3738;171;0;13;13
08436052;Kißlegg;9240;788;402;158;58;3;30;19;2;352;293;5941;179;0;2257;219;7;28;27
08436053;Königseggwald;685;69;37;18;4;0;5;4;0;27;26;362;0;0;249;2;0;3;3
08436055;Leutkirch im Allgäu, Stadt;17496;1765;947;412;162;16;80;38;12;709;650;10324;59;0;5072;212;56;68;67
08436064;Ravensburg, Stadt;9205;1961;1180;564;173;33;210;103;15;523;500;5114;0;0;2006;76;13;33;33
08436067;Riedhausen;842;56;29;13;2;0;2;0;0;25;25;620;0;0;154;8;1;2;2
08436069;Schlier;3258;234;151;84;12;0;7;1;1;74;74;1800;38;0;1159;45;9;11;11
08436077;Unterwaldhausen;411;28;16;6;1;0;0;0;0;11;11;301;0;0;79;0;1;2;2
08436078;Vogt;2231;237;153;84;20;1;11;6;3;68;68;1200;49;0;779;11;1;4;4
08436079;Waldburg;2270;189;114;61;8;1;6;1;1;68;68;1243;75;0;810;17;2;9;9
08436081;Wangen im Allgäu, Stadt;10129;1433;830;418;124;18;67;30;11;507;485;6299;13;0;2139;215;18;25;25
08436082;Weingarten, Stadt;1217;624;419;233;85;2;58;33;5;141;134;323;0;0;230;16;0;23;4
08436083;Wilhelmsdorf, Württ;3810;320;174;86;12;3;18;11;1;123;123;2217;12;0;1178;79;7;9;9
08436085;Wolfegg;3949;356;176;91;19;14;22;15;2;143;119;1830;0;0;1672;35;49;7;7
08436087;Wolpertswende;2635;214;138;77;19;1;7;3;1;66;59;1166;11;0;1183;66;2;5;5
08436093;Ebersbach-Musbach;2686;178;92;37;5;0;5;2;1;80;80;1897;9;0;598;12;0;1;1
08436094;Argenbühl;7637;537;307;128;25;2;14;6;2;212;212;5057;56;0;1892;141;1;9;9
08436095;Horgenzell;5616;431;242;100;8;8;11;3;1;169;169;3844;0;0;1303;28;0;8;8
08436096;Fronreute;4609;341;185;87;9;0;16;6;1;139;136;3125;2;0;1036;77;8;22;22
08437005;Beuron;3511;193;52;26;2;1;7;1;0;132;91;627;0;0;2596;76;4;16;16
08437008;Bingen;3701;257;134;72;12;1;5;2;1;116;107;1258;0;0;2151;19;0;16;16
08437031;Gammertingen;5297;579;276;144;39;5;30;19;2;266;250;2682;0;0;2005;11;0;20;20
08437044;Herbertingen;3867;449;244;100;61;2;11;2;2;190;168;2587;0;0;720;51;37;24;19
08437047;Hettingen;4606;348;137;58;30;4;7;2;1;198;194;2312;0;0;1915;14;1;16;16
08437053;Hohentengen;3657;485;201;101;31;1;12;2;1;271;163;2707;0;0;429;23;3;9;9
08437056;Illmensee;2492;192;112;47;13;0;5;1;1;74;74;1608;0;0;566;109;10;7;7
08437059;Inzigkofen;2875;325;128;70;22;7;67;2;1;122;111;1413;0;0;1075;36;4;22;22
08437065;Krauchenwies;4466;506;249;122;60;7;16;4;2;231;217;2219;0;0;1503;103;105;31;31
08437072;Leibertingen;4721;300;125;50;17;1;8;2;1;165;163;2255;0;0;2158;6;0;3;3
08437076;Mengen;4980;739;373;188;75;3;39;19;4;320;256;2830;0;0;1187;158;32;34;34
08437078;Meßkirch;7624;745;408;175;61;2;17;9;4;314;297;3597;0;0;3187;39;30;26;26
08437082;Neufra;2839;176;83;49;10;0;4;1;1;88;83;1117;0;0;1500;4;0;42;42
08437086;Ostrach;10891;814;383;159;67;7;13;7;3;410;384;5555;0;0;4306;137;61;17;17
08437088;Pfullendorf;9056;947;562;209;116;6;60;38;4;315;290;4810;2;0;3119;50;88;41;41
08437100;Bad Saulgau;9733;1168;647;300;84;11;111;17;6;394;375;5902;0;0;2561;34;39;28;28
08437101;Scheer;1872;180;99;56;17;2;5;4;1;73;70;760;0;0;894;25;0;12;12
08437102;Schwenningen, Baden;1933;155;80;43;10;2;7;1;1;66;66;1032;0;0;740;0;0;5;5
08437104;Sigmaringen;9284;1121;574;270;62;9;58;24;4;477;423;2014;0;0;6016;91;7;36;36
08437105;Sigmaringendorf;1247;236;146;87;40;1;10;3;1;78;60;492;0;0;453;53;1;12;12
08437107;Stetten am kalten Markt;5647;593;357;115;40;2;13;4;2;219;203;2808;0;0;2226;10;0;11;11
08437114;Veringenstadt;3125;324;108;55;18;0;6;3;1;209;201;1194;0;0;1566;19;6;16;16
08437118;Wald, Hohenz;4387;288;150;69;8;0;5;2;1;131;123;2487;0;0;1562;10;14;26;26
08437123;Sauldorf;4972;392;201;65;37;2;6;1;1;182;166;3142;0;0;1328;59;15;36;36
08437124;Herdwangen-Schönach;3652;300;181;91;11;0;8;5;1;110;109;2307;0;0;1023;6;12;4;4
09161000;Ingolstadt;13337;4925;3068;1509;621;32;540;345;31;1255;1126;5842;5;5;1797;629;16;127;113
09162000;München, Landeshauptstadt;31070;23500;14154;7787;1116;136;3523;2973;374;5312;4393;5381;4;190;1480;465;43;201;131
09163000;Rosenheim;3722;1488;1028;580;93;16;80;31;9;355;283;1508;10;7;573;129;2;22;12
09171111;Altötting, St;2308;492;309;144;27;2;13;4;3;166;160;1275;0;0;399;74;53;14;14
09171112;Burghausen, St;1981;910;703;233;352;4;36;20;3;163;150;521;0;0;418;107;1;24;20
09171113;Burgkirchen a.d.Alz;4620;686;431;168;127;22;25;8;1;206;187;2542;0;0;1276;97;4;15;15
09171114;Emmerting;1409;166;109;81;1;1;5;1;0;51;51;302;0;0;897;33;8;2;2
09171115;Erlbach;2814;153;78;13;1;0;4;1;0;71;71;1964;0;0;691;2;3;1;1
09171116;Feichten a.d.Alz;1791;121;62;24;2;0;2;0;0;57;48;1244;0;0;391;32;0;3;3
09171117;Garching a.d.Alz;2587;434;288;179;18;2;7;1;1;135;101;1464;0;0;608;68;8;4;4
09171118;Haiming;2874;315;134;59;13;7;81;17;0;92;92;1164;0;0;1104;267;2;24;24
09171119;Halsbach;2207;111;60;16;1;0;1;0;0;50;50;1730;0;0;363;3;0;1;1
09171121;Kastl;2760;232;126;39;21;4;4;1;1;97;89;1782;0;0;706;13;20;8;8
09171122;Kirchweidach;2016;185;102;44;6;9;3;0;0;70;58;1612;0;1;217;1;0;1;1
09171123;Marktl, M;2784;249;114;54;6;0;23;1;0;110;99;1122;0;0;1251;157;0;6;6
09171124;Mehring;2337;195;104;40;8;3;4;1;1;84;83;1016;0;0;1070;52;1;3;3
09171125;Neuötting, St;3660;493;253;133;20;7;13;7;2;218;218;1241;0;0;1760;147;15;4;4
09171126;Perach;1413;124;55;22;3;3;12;6;0;53;37;722;0;0;485;74;6;2;2
09171127;Pleiskirchen;5263;351;158;39;4;1;58;2;0;134;134;3609;0;0;1288;11;0;3;3
09171129;Reischach;2846;201;117;49;5;1;4;0;0;79;77;1777;0;0;838;15;4;10;10
09171130;Stammham;568;91;48;27;3;0;6;0;1;36;27;267;0;0;161;42;0;7;7
09171131;Teising;538;88;63;33;12;1;3;1;0;21;21;291;0;0;130;23;5;2;2
09171132;Töging a.Inn, St;1365;409;279;165;52;5;17;7;2;106;90;569;0;0;267;103;8;9;9
09171133;Tüßling, M;1956;227;117;67;4;0;11;5;1;99;75;1422;0;0;284;21;0;2;2
09171134;Tyrlaching;2054;115;57;17;1;0;2;0;0;56;43;1536;0;0;396;2;2;3;3
09171135;Unterneukirchen;2326;266;153;49;32;23;8;3;0;82;79;1758;0;0;249;44;7;3;3
09171137;Winhöring;2458;365;187;110;17;5;9;2;1;163;135;1129;0;0;862;75;4;23;23
09172111;Ainring;3297;493;288;148;39;3;66;5;1;135;104;1814;3;0;840;49;96;5;5
09172112;Anger;4591;288;145;69;5;1;9;1;0;133;133;1684;10;1;2570;46;1;2;2
09172114;Bad Reichenhall, GKSt;4192;608;393;202;20;1;36;18;4;174;164;543;0;8;2549;86;0;407;406
09172115;Bayerisch Gmain;1234;144;93;60;0;1;5;1;1;44;34;162;2;0;593;11;0;323;323
09172116;Berchtesgaden, M;3562;419;221;112;15;1;43;5;1;153;148;885;7;1;2144;41;2;72;72
09172117;Bischofswiesen;6214;376;238;117;12;3;15;3;0;121;104;923;3;0;4062;40;9;804;804
09172118;Freilassing, St;1482;515;346;181;55;4;21;12;3;141;109;561;0;0;357;40;7;2;2
09172122;Laufen, St;3529;416;241;108;13;2;22;10;2;148;126;1905;3;0;1063;126;14;5;5
09172124;Marktschellenberg, M;1766;102;56;25;2;1;2;0;0;43;43;644;2;4;986;23;3;9;9
09172128;Piding;1767;237;141;84;14;1;8;1;1;86;74;443;1;0;992;35;0;59;59
09172129;Ramsau b.Berchtesgaden;12917;153;68;30;4;1;7;2;2;75;75;811;4;7;6245;61;0;5647;5647
09172130;Saaldorf-Surheim;3910;372;209;97;18;2;8;1;1;152;136;2469;1;0;866;176;21;6;6
09172131;Schneizlreuth;10728;186;83;31;12;0;4;0;0;98;98;582;1;1;8396;166;12;1385;1385
09172132;Schönau a.Königssee;13165;293;187;114;5;1;16;3;5;83;83;1331;3;93;4687;621;0;6233;6233
09172134;Teisendorf, M;8677;709;369;148;28;6;15;3;2;317;273;4980;7;0;2890;81;9;7;7
09172444;Gem.fr. Geb. Berchtesgadener Land;2961;45;2;0;0;0;0;0;0;44;44;117;0;5;1891;21;0;886;886
09173111;Bad Heilbrunn;4032;220;138;72;3;2;6;0;0;73;73;2086;321;0;1610;83;3;30;30
09173112;Bad Tölz, St;3080;601;387;205;27;6;43;11;6;159;146;1344;160;1;934;158;7;37;9
09173113;Benediktbeuern;3786;163;107;63;3;0;9;4;1;45;42;1492;208;0;2005;49;8;68;68
09173115;Bichl;1392;125;65;36;3;1;3;0;0;56;47;519;3;0;701;44;0;3;3
09173118;Dietramszell;9682;490;266;99;17;7;10;1;1;205;205;4772;186;1;4138;157;49;77;77
09173120;Egling;7405;523;267;118;21;2;71;4;0;183;181;3552;169;0;3037;175;114;5;5
09173123;Eurasburg;4087;362;191;93;15;2;52;1;1;117;117;2270;131;0;1369;80;1;6;2
09173124;Gaißach;3855;178;106;44;6;4;5;0;1;62;49;1311;61;2;2193;161;1;11;11
09173126;Geretsried, St;2459;654;489;233;124;2;19;7;9;134;131;873;122;0;838;61;10;24;23
09173127;Greiling;765;83;44;29;1;6;1;0;0;33;23;480;15;0;193;7;0;2;2
09173130;Icking;1699;318;179;131;1;0;31;2;1;107;97;756;9;0;613;1;1;10;10
09173131;Jachenau;12864;132;53;17;3;7;0;0;0;71;71;1481;21;0;10621;167;2;461;461
09173133;Kochel a.See;8012;316;175;94;8;7;15;4;1;118;110;1315;139;0;3765;2227;1;386;386
09173134;Königsdorf;4568;257;128;53;6;5;29;0;0;96;79;2581;608;0;1600;77;25;28;26
09173135;Lenggries;24290;545;317;164;17;11;10;1;1;206;200;4095;63;21;15508;1298;22;2823;2819
09173137;Münsing;5223;500;221;130;8;3;41;22;1;235;234;2204;144;0;2481;31;1;5;5
09173140;Reichersbeuern;1540;126;70;39;4;13;3;1;1;41;37;651;19;0;695;11;19;38;8
09173141;Sachsenkam;1593;93;45;21;3;0;2;0;0;46;45;920;260;0;528;52;0;0;0
09173142;Schlehdorf;2539;89;56;23;1;2;2;0;0;30;30;900;16;0;1241;214;2;93;93
09173145;Wackersberg;6483;271;133;56;4;1;38;2;0;99;99;3091;177;2;3022;60;10;30;30
09173147;Wolfratshausen, St;913;494;338;199;41;1;53;4;2;99;88;193;0;0;193;32;0;1;1
09173444;Gem.fr. Geb. Bad Tölz-Wolfratshausen;801;5;0;0;0;0;0;0;0;5;5;0;0;0;543;252;0;0;0
09174111;Altomünster, M;7566;708;379;153;18;13;20;5;2;295;291;5207;1;0;1520;37;20;73;11
09174113;Bergkirchen;5997;744;376;132;44;11;42;6;1;314;297;4274;15;2;777;158;10;33;10
09174115;Dachau, GKSt;3496;1245;794;396;104;15;102;56;21;314;281;1895;1;1;232;70;18;37;21
09174118;Erdweg;3606;384;209;109;11;3;17;4;7;147;140;2296;2;1;863;42;13;7;1
09174121;Haimhausen;2693;273;148;82;5;12;25;8;1;87;87;1855;1;0;482;82;0;1;1
09174122;Hebertshausen;2957;351;185;92;14;6;16;3;3;140;118;2292;6;6;202;91;12;9;7
09174126;Karlsfeld;1560;519;311;177;36;3;68;23;3;134;114;902;0;0;58;68;4;9;9
09174131;Markt Indersdorf, M;6842;639;366;144;26;14;26;4;3;231;220;5173;2;1;958;43;6;23;13
09174135;Odelzhausen;3045;383;183;87;18;9;25;4;1;165;164;1834;0;0;792;28;4;5;4
09174136;Petershausen;3279;365;179;90;9;4;13;3;2;168;132;2225;6;0;626;51;4;8;5
09174137;Pfaffenhofen a.d.Glonn;2089;182;87;39;2;4;7;2;0;84;84;1549;1;0;336;18;3;0;0
09174141;Röhrmoos;3175;323;182;87;5;7;10;5;1;123;104;2210;9;1;618;17;0;6;5
09174143;Schwabhausen;3023;327;176;98;7;3;29;6;2;118;112;2068;4;0;602;20;2;4;4
09174146;Sulzemoos;1904;260;118;50;13;19;6;1;0;117;117;1226;0;0;404;14;0;1;0
09174147;Hilgertshausen-Tandern;2868;314;175;63;7;7;5;1;0;126;126;1852;0;0;638;10;3;51;1
09174150;Vierkirchen;1938;277;157;64;6;7;17;3;1;94;82;1459;0;0;175;23;0;5;3
09174151;Weichs;1881;217;114;55;5;3;18;1;1;81;81;1288;0;0;334;36;5;1;1
09175111;Anzing;1618;244;135;57;11;1;12;5;0;96;95;1297;4;0;59;13;0;5;5
09175112;Aßling;3137;284;161;75;10;1;4;1;1;117;82;2119;20;0;674;15;42;3;1
09175113;Baiern;1997;132;78;23;3;2;5;1;0;46;46;1351;1;0;505;8;1;0;0
09175114;Bruck;2159;123;55;17;1;4;3;1;0;61;49;1371;5;2;637;14;3;12;12
09175115;Ebersberg, St;4084;460;282;137;15;15;9;6;6;148;135;2243;24;2;1299;54;21;7;7
09175116;Egmating;1916;193;70;34;1;3;77;2;0;43;43;681;1;0;1039;1;1;1;1
09175118;Forstinning;1227;206;119;56;17;1;9;3;2;76;76;941;0;1;61;13;1;6;4
09175119;Frauenneuharting;2269;123;73;21;2;0;2;2;0;48;48;1716;5;1;414;11;3;1;1
09175121;Glonn, M;3024;247;152;66;8;2;10;3;0;81;81;1632;11;1;1124;16;2;4;4
09175122;Grafing b.München, St;2958;488;289;175;17;3;48;13;2;146;110;1812;37;0;634;17;4;3;3
09175123;Hohenlinden;1732;184;110;45;10;0;8;3;0;66;66;962;0;0;576;1;8;1;1
09175124;Kirchseeon, M;1791;318;219;119;22;2;5;3;2;91;59;650;14;0;791;3;22;6;6
09175127;Markt Schwaben, M;1086;310;208;110;29;2;25;9;2;73;56;693;1;0;69;8;0;5;5
09175128;Moosach;1821;110;57;27;2;1;6;4;0;45;45;757;3;2;923;30;1;1;0
09175131;Oberpframmern;1847;126;80;42;8;0;2;1;1;43;43;600;0;0;1116;1;2;1;1
09175132;Vaterstetten;3409;838;533;348;20;2;36;16;2;266;252;2056;2;1;500;0;11;3;3
09175133;Pliening;2279;225;150;69;11;2;4;1;1;69;69;1698;0;0;81;241;24;9;6
09175135;Poing;1292;438;249;104;57;7;85;38;1;96;84;769;0;0;75;4;4;3;2
09175136;Emmering;1722;115;70;26;0;2;3;0;0;39;39;1398;3;0;187;20;2;1;1
09175137;Steinhöring;3630;412;139;54;4;15;161;4;1;97;92;2331;5;1;860;24;1;2;2
09175139;Zorneding;2378;303;164;104;9;1;17;6;1;120;107;882;2;0;1181;3;6;2;1
09175444;Gem.fr. Geb. Ebersberg;7561;48;4;0;0;1;0;0;0;43;43;75;0;0;7437;0;1;0;0
09176111;Adelschlag;5198;346;133;63;8;16;4;1;0;192;170;2391;0;3;2436;9;5;11;10
09176112;Altmannstein, M;11418;951;374;175;12;14;19;7;2;542;542;5771;1;74;4648;25;5;17;17
09176114;Beilngries, St;10007;1030;419;181;44;20;67;9;2;522;515;5547;0;3;3170;171;50;38;27
09176116;Böhmfeld;1627;120;55;33;1;3;1;1;0;61;61;682;0;4;814;1;5;5;2
09176118;Buxheim;2253;273;134;77;6;2;13;2;1;123;106;1482;0;4;445;45;0;7;5
09176120;Denkendorf;4784;543;206;98;23;35;16;8;2;284;257;1910;0;6;2308;8;1;13;13
09176121;Dollnstein, M;4051;338;119;63;15;10;7;2;1;202;168;1316;0;158;2316;56;0;26;11
09176122;Egweil;939;103;48;28;3;6;3;1;0;46;44;677;0;0;148;7;0;4;0
09176123;Eichstätt, GKSt;4778;721;376;187;42;16;32;17;2;294;241;1894;0;132;1966;65;70;63;42
09176124;Eitensheim;1571;219;102;55;8;8;5;2;1;104;92;1025;0;1;318;6;0;3;1
09176126;Gaimersheim, M;2821;607;369;211;39;5;32;17;1;202;192;1819;0;3;372;14;1;7;7
09176129;Großmehring;4742;634;319;115;55;17;26;13;1;270;266;3125;3;3;539;351;18;76;71
09176131;Hepberg;416;128;72;51;3;0;9;7;0;47;47;235;0;0;3;0;0;50;50
09176132;Hitzhofen;3379;215;102;61;3;6;8;2;1;97;97;1091;0;1;2063;2;4;4;3
09176137;Kinding, M;5172;471;144;52;21;7;31;2;1;288;285;1887;0;3;2567;114;55;77;23
09176138;Kipfenberg, M;8143;612;243;112;22;15;26;6;2;327;325;2822;0;15;4626;53;5;25;9
09176139;Kösching, M;5567;624;370;161;75;10;23;18;1;219;217;2388;0;0;2539;13;0;4;4
09176143;Lenting;848;263;161;85;36;1;9;6;2;90;90;466;0;0;25;6;0;87;87
09176147;Mindelstetten;2269;222;82;39;1;2;6;2;1;130;130;1580;0;0;447;8;9;3;3
09176148;Mörnsheim, M;3346;275;82;33;20;26;3;0;0;163;161;1456;0;118;1456;29;111;18;17
09176149;Nassenfels, M;1843;198;92;41;5;3;3;0;1;100;95;1083;0;6;535;23;0;4;3
09176150;Oberdolling;1937;177;69;29;12;3;4;1;0;101;101;1224;0;16;520;9;5;1;1
09176153;Pförring, M;4352;430;199;78;13;1;14;6;2;214;214;3025;13;5;546;168;16;165;165
09176155;Pollenfeld;4565;361;147;49;14;10;7;2;1;196;196;2253;0;3;1934;1;0;16;14
09176160;Schernfeld;5224;424;164;57;23;49;10;2;0;201;201;2320;0;35;2376;1;56;48;46
09176161;Stammham;3904;344;143;87;1;6;6;3;1;188;167;891;0;0;2635;8;2;25;25
09176164;Titting, M;7110;561;182;45;38;18;12;1;0;349;349;4474;0;18;1947;22;79;27;22
09176165;Walting;3975;303;120;52;20;15;12;5;0;156;156;1353;0;67;2232;61;8;18;7
09176166;Wellheim, M;3381;271;129;66;5;3;4;1;0;135;127;1217;0;3;1868;17;1;8;5
09176167;Wettstetten;1247;227;127;88;3;1;12;6;0;87;82;769;0;2;171;5;0;75;75
09176444;Gem.fr. Geb. Eichstätt;542;10;0;0;0;0;0;0;0;10;10;1;0;0;531;0;0;0;0
09177112;Berglern;1988;191;102;39;7;4;5;2;0;79;76;1638;43;1;40;94;16;10;5
09177113;Bockhorn;4715;450;180;67;8;5;64;7;1;201;139;3614;3;3;612;34;0;4;3
09177114;Buch a.Buchrain;2275;106;65;23;2;2;2;0;0;37;37;1089;1;0;1075;4;0;0;0
09177115;Dorfen, St;9956;875;494;194;38;7;25;11;3;345;310;8000;21;1;973;88;4;16;13
09177116;Eitting;3563;351;151;45;18;17;12;1;0;172;171;2564;0;0;451;157;28;12;8
09177117;Erding, Große Kreisstadt;5461;1449;692;339;56;19;71;43;7;660;273;3649;5;4;195;125;8;34;13
09177118;Finsing;2317;269;188;71;11;0;8;2;0;73;73;1713;0;0;147;161;3;23;3
09177119;Forstern;1537;155;103;47;9;3;7;1;0;42;42;1142;1;0;221;5;15;0;0
09177120;Fraunberg;4236;348;159;61;6;2;7;2;1;179;179;3367;1;0;471;38;7;4;4
09177121;Hohenpolding;2742;176;96;22;6;3;3;0;0;74;74;2221;0;0;330;11;3;1;0
09177122;Inning a.Holz;1183;106;62;27;4;1;4;2;0;38;38;779;1;1;292;5;0;1;1
09177123;Isen, M;4378;343;221;92;21;2;8;3;2;110;105;2462;0;0;1549;15;2;7;6
09177124;Kirchberg;1710;98;55;17;2;1;1;1;0;41;41;1267;0;0;335;6;2;1;1
09177126;Langenpreising;2750;261;109;47;4;1;11;2;0;140;135;2175;9;0;196;101;5;12;9
09177127;Lengdorf;3394;257;134;46;4;10;4;1;0;109;84;2629;5;1;477;21;0;9;8
09177130;Moosinning;3997;473;200;95;7;1;115;3;1;156;150;3017;13;0;416;80;3;8;4
09177131;Neuching;1968;190;103;42;6;1;3;1;0;83;83;1692;0;0;35;46;0;5;2
09177133;Oberding;6472;1329;286;89;32;12;32;23;3;996;255;4763;4;0;190;114;8;69;19
09177134;Ottenhofen;1027;138;78;36;1;0;6;2;0;53;33;783;3;0;86;21;0;0;0
09177135;Pastetten;2208;187;108;45;4;0;2;0;0;77;74;1712;3;0;272;19;15;4;4
09177137;Sankt Wolfgang;4632;324;200;66;18;2;11;7;0;111;111;3040;1;2;1244;21;3;1;1
09177138;Steinkirchen;1808;113;66;25;3;1;0;0;0;45;45;1398;0;0;291;6;1;0;0
