Baujahr;Altersklasse;Durchschnitt;EFH 1;EFH2;RH;MFH;MFH2;GMH;HH
1948;C;49;;43;59;;48;47;
1949;D;52;;48;56;;58;47;
1950;D;52;;48;56;;58;47;
1951;D;52;;48;56;;58;47;
1952;D;52;;48;56;;58;47;
1953;D;52;;48;56;;58;47;
1954;D;52;;48;56;;58;47;
1955;D;52;;48;56;;58;47;
1956;D;52;;48;56;;58;47;
1957;D;52;;48;56;;58;47;
1958;E;46;;30;57;;44;50;50
1959;E;46;;30;57;;44;50;50
1960;E;46;;30;57;;44;50;50
1961;E;46;;30;57;;44;50;50
1962;E;46;;30;57;;44;50;50
1963;E;46;;30;57;;44;50;50
1964;E;46;;30;57;;44;50;50
1965;E;46;;30;57;;44;50;50
1966;E;46;;30;57;;44;50;50
1967;E;46;;30;57;;44;50;50
1968;E;46;;30;57;;44;50;50
1969;F;42;30;30;56;;44;55;40
1970;F;42;30;30;56;;44;55;40
1971;F;42;30;30;56;;44;55;40
1972;F;42;30;30;56;;44;55;40
1973;F;42;30;30;56;;44;55;40
1974;F;42;30;30;56;;44;55;40
1975;F;42;30;30;56;;44;55;40
1976;F;42;30;30;56;;44;55;40
1977;F;42;30;30;56;;44;55;40
1978;F;42;30;30;56;;44;55;40
1979;G;33;;35;37;;28;;
1980;G;33;;35;37;;28;;
1981;G;33;;35;37;;28;;
1982;G;33;;35;37;;28;;
1983;G;33;;35;37;;28;;
1984;H;38;;35;37;;42;;
1985;H;38;;35;37;;42;;
1986;H;38;;35;37;;42;;
1987;H;38;;35;37;;42;;
1988;H;38;;35;37;;42;;
1989;H;38;;35;37;;42;;
1990;H;38;;35;37;;42;;
1991;H;38;;35;37;;42;;
1992;H;38;;35;37;;42;;
1993;H;38;;35;37;;42;;
1994;H;38;;35;37;;42;;
1995;I;;;;;;;;
1996;I;;;;;;;;
1997;I;;;;;;;;
1998;I;;;;;;;;
1999;I;;;;;;;;
2000;I;;;;;;;;
2001;I;;;;;;;;
2002;I;;;;;;;;
2003;I;;;;;;;;
2004;I;;;;;;;;
2005;I;;;;;;;;
2006;I;;;;;;;;
2007;I;;;;;;;;
2008;I;;;;;;;;
2009;I;;;;;;;;
2010;I;;;;;;;;
2011;I;;;;;;;;
2012;I;;;;;;;;
2013;I;;;;;;;;
2014;I;;;;;;;;
2015;I;;;;;;;;
2016;I;;;;;;;;
2017;I;;;;;;;;
2018;I;;;;;;;;
2019;I;;;;;;;;
2020;I;;;;;;;;
2021;I;;;;;;;;
2022;I;;;;;;;;
2023;I;;;;;;;;
2024;I;;;;;;;;
2025;I;;;;;;;;
