Baujahr;Altersklasse;Durchschnitt;EFH 1;EFH2;RH;MFH;MFH2;GMH;HH
1865;AB;4.711;27.229,36;250;204;241;180;159;
1866;AB;4.714;27.251,67;250;204;241;180;159;
1867;AB;4.718;27.273,98;250;204;241;180;159;
1868;AB;4.722;27.296,28;250;204;241;180;159;
1869;AB;4.725;27.318,59;250;204;241;180;159;
1870;AB;4.729;27.340,90;250;204;241;180;159;
1871;AB;4.733;27.363,20;250;204;241;180;159;
1872;AB;4.737;27.385,51;250;204;241;180;159;
1873;AB;4.740;27.407,82;250;204;241;180;159;
1874;AB;4.744;27.430,13;250;204;241;180;159;
1875;AB;4.748;27.452,44;250;204;241;180;159;
1876;AB;4.751;27.474,75;250;204;241;180;159;
1877;AB;4.755;27.497,06;250;204;241;180;159;
1878;AB;4.759;27.519,37;250;204;241;180;159;
1879;AB;4.763;27.541,68;250;204;241;180;159;
1880;AB;4.766;27.563,99;250;204;241;180;159;
1881;AB;4.770;27.586,30;250;204;241;180;159;
1882;AB;4.774;27.608,61;250;204;241;180;159;
1883;AB;4.777;27.630,93;250;204;241;180;159;
1884;AB;4.781;27.653,24;250;204;241;180;159;
1885;AB;4.785;27.675,55;250;204;241;180;159;
1886;AB;4.789;27.697,86;250;204;241;180;159;
1887;AB;4.792;27.720,18;250;204;241;180;159;
1888;AB;4.796;27.742,49;250;204;241;180;159;
1889;AB;4.800;27.764,80;250;204;241;180;159;
1890;AB;4.804;27.787,12;250;204;241;180;159;
1891;AB;4.807;27.809,43;250;204;241;180;159;
1892;AB;4.811;27.831,75;250;204;241;180;159;
1893;AB;4.815;27.854,06;250;204;241;180;159;
1894;AB;4.818;27.876,38;250;204;241;180;159;
1895;AB;4.822;27.898,69;250;204;241;180;159;
1896;AB;4.826;27.921,01;250;204;241;180;159;
1897;AB;4.830;27.943,32;250;204;241;180;159;
1898;AB;4.833;27.965,64;250;204;241;180;159;
1899;AB;4.837;27.987,96;250;204;241;180;159;
1900;AB;-2.098;-13.620,25;250;204;241;180;159;
1901;AB;172;0,20;250;204;241;180;159;
1902;AB;172;0,20;250;204;241;180;159;
1903;AB;172;0,20;250;204;241;180;159;
1904;AB;172;0,20;250;204;241;180;159;
1905;AB;172;0,20;250;204;241;180;159;
1906;AB;172;0,20;250;204;241;180;159;
1907;AB;172;0,20;250;204;241;180;159;
1908;AB;172;0,20;250;204;241;180;159;
1909;AB;172;0,21;250;204;241;180;159;
1910;AB;172;0,21;250;204;241;180;159;
1911;AB;172;0,21;250;204;241;180;159;
1912;AB;172;0,21;250;204;241;180;159;
1913;AB;172;0,21;250;204;241;180;159;
1914;AB;172;0,21;250;204;241;180;159;
1915;AB;172;0,21;250;204;241;180;159;
1916;AB;172;0,21;250;204;241;180;159;
1917;AB;172;0,21;250;204;241;180;159;
1918;AB;172;0,21;250;204;241;180;159;
1919;C;131;0,21; ;166;193;;164;
1920;C;131;0,21; ;166;193;;164;
1921;C;131;0,21; ;166;193;;164;
1922;C;131;0,21; ;166;193;;164;
1923;C;131;0,21; ;166;193;;164;
1924;C;131;0,21; ;166;193;;164;
1925;C;131;0,21; ;166;193;;164;
1926;C;131;0,21; ;166;193;;164;
1927;C;131;0,21; ;166;193;;164;
1928;C;131;0,21; ;166;193;;164;
1929;C;131;0,21; ;166;193;;164;
1930;C;131;0,21; ;166;193;;164;
1931;C;131;0,21; ;166;193;;164;
1932;C;131;0,21; ;166;193;;164;
1933;C;131;0,21; ;166;193;;164;
1934;C;131;0,21; ;166;193;;164;
1935;C;131;0,21; ;166;193;;164;
1936;C;131;0,21; ;166;193;;164;
1937;C;131;0,21; ;166;193;;164;
1938;C;131;0,21; ;166;193;;164;
1939;C;131;0,21; ;166;193;;164;
1940;C;131;0,21; ;166;193;;164;
1941;C;131;0,21; ;166;193;;164;
1942;C;131;0,21; ;166;193;;164;
1943;C;131;0,21; ;166;193;;164;
1944;C;131;0,21; ;166;193;;164;
1945;C;131;0,21; ;166;193;;164;
1946;C;131;0,21; ;166;193;;164;
1947;C;131;0,21; ;166;193;;164;
1948;C;131;0,21; ;166;193;;164;
1949;D;137;0,21; ;163;211;;173;
1950;D;137;0,21; ;163;211;;173;
1951;D;137;0,21; ;163;211;;173;
1952;D;137;0,21; ;163;211;;173;
1953;D;137;0,21; ;163;211;;173;
1954;D;137;0,21; ;163;211;;173;
1955;D;137;0,21; ;163;211;;173;
1956;D;137;0,21; ;163;211;;173;
1957;D;137;0,22; ;163;211;;173;
1958;E;119;0,22; ;135;168;;172;119
1959;E;119;0,22; ;135;168;;172;119
1960;E;119;0,22; ;135;168;;172;119
1961;E;119;0,22; ;135;168;;172;119
1962;E;119;0,22; ;135;168;;172;119
1963;E;119;0,22; ;135;168;;172;119
1964;E;119;0,22; ;135;168;;172;119
1965;E;119;0,22; ;135;168;;172;119
1966;E;119;0,22; ;135;168;;172;119
1967;E;119;0,22; ;135;168;;172;119
1968;E;119;0,22; ;135;168;;172;119
1969;F;111;0,22;123;159;139;;140;103
1970;F;111;0,22;123;159;139;;140;103
1971;F;111;0,22;123;159;139;;140;103
1972;F;111;0,22;123;159;139;;140;103
1973;F;111;0,22;123;159;139;;140;103
1974;F;111;0,22;123;159;139;;140;103
1975;F;111;0,22;123;159;139;;140;103
1976;F;111;0,22;123;159;139;;140;103
1977;F;111;0,22;123;159;139;;140;103
1978;F;111;0,22;123;159;139;;140;103
1979;G;82;0,22;;129;118;;;
1980;G;82;0,22;;129;118;;;
1981;G;82;0,22;;129;118;;;
1982;G;82;0,22;;129;118;;;
1983;G;82;0,22;;129;118;;;
1984;H;73;0,22;;97;122;;;
1985;H;73;0,22;;97;122;;;
1986;H;73;0,22;;97;122;;;
1987;H;73;0,22;;97;122;;;
1988;H;73;0,22;;97;122;;;
1989;H;73;0,22;;97;122;;;
1990;H;73;0,22;;97;122;;;
1991;H;73;0,22;;97;122;;;
1992;H;73;0,22;;97;122;;;
1993;H;73;0,22;;97;122;;;
1994;H;73;0,22;;97;122;;;
1995;I;73;0,22;;97;122;;;
1996;I;;0,22;;;;;;
1997;I;;0,22;;;;;;
1998;I;;0,22;;;;;;
1999;I;;0,22;;;;;;
2000;I;;0,22;;;;;;
2001;I;;0,22;;;;;;
2002;I;;0,22;;;;;;
2003;I;;0,22;;;;;;
2004;I;;0,22;;;;;;
2005;I;;0,22;;;;;;
2006;I;;0,22;;;;;;
2007;I;;0,22;;;;;;
2008;I;;0,22;;;;;;
2009;I;;0,22;;;;;;
2010;I;;0,22;;;;;;
2011;I;;0,22;;;;;;
2012;I;;0,22;;;;;;
2013;I;;0,22;;;;;;
2014;I;;0,22;;;;;;
2015;I;;0,22;;;;;;
2016;I;;0,22;;;;;;
2017;I;;0,22;;;;;;
2018;I;;0,22;;;;;;
2019;I;;0,22;;;;;;
2020;I;;0,22;;;;;;
2021;I;;0,22;;;;;;
2022;I;;0,22;;;;;;
2023;I;;0,22;;;;;;
2024;I;;0,22;;;;;;
2025;I;;0,22;;;;;;
