GENESIS-Tabelle: 036-01-5-B
Gebäude mit Wohnraum und Wohnungen nach Gebäudearten;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes
;;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01051131;Westerborstel;46;46;46;-;-;55;55;55;-;-
01051132;Westerdeichstrich;430;421;421;-;9;664;652;652;-;12
01051133;Wiemerstedt;58;58;58;-;-;64;64;64;-;-
01051134;Windbergen;317;291;291;-;26;369;332;332;-;37
01051135;Wolmersdorf;132;128;128;-;4;151;147;147;-;4
01051136;Wrohm;301;295;295;-;6;345;339;339;-;6
01051137;Nordermeldorf;253;235;235;-;18;315;291;291;-;24
01051138;Tensbüttel-Röst;232;226;226;-;6;282;276;276;-;6
01051139;Süderdorf;123;119;119;-;4;160;153;153;-;7
01051140;Oesterwurth;109;99;99;-;10;118;108;108;-;10
01051141;Süderheistedt;215;198;198;-;17;250;229;229;-;21
01053001;Albsfelde;32;32;32;-;-;38;38;38;-;-
01053002;Alt Mölln;281;265;265;-;16;363;340;340;-;23
01053003;Aumühle;975;949;949;-;26;1573;1516;1516;-;57
01053004;Bäk;322;319;315;4;3;388;385;381;4;3
01053005;Bälau;72;69;69;-;3;94;91;91;-;3
01053006;Basedow;262;255;255;-;7;334;324;324;-;10
01053007;Basthorst;161;158;158;-;3;191;188;188;-;3
01053008;Behlendorf;139;127;127;-;12;174;152;152;-;22
01053009;Berkenthin;627;605;605;-;22;828;789;789;-;39
01053010;Besenthal;26;23;23;-;3;32;29;29;-;3
01053011;Bliestorf;217;217;217;-;-;279;279;279;-;-
01053012;Börnsen;1321;1295;1295;-;26;1847;1802;1802;-;45
01053013;Borstorf;108;98;98;-;10;127;117;117;-;10
01053014;Breitenfelde;605;569;569;-;36;812;773;773;-;39
01053015;Bröthen;101;98;98;-;3;130;127;127;-;3
01053016;Brunsmark;84;84;84;-;-;97;97;97;-;-
01053017;Brunstorf;207;198;198;-;9;267;255;255;-;12
01053018;Buchholz;94;82;82;-;12;110;98;98;-;12
01053019;Buchhorst;57;57;57;-;-;70;70;70;-;-
01053020;Büchen;1715;1658;1658;-;57;2644;2549;2549;-;95
01053021;Dahmker;60;60;60;-;-;63;63;63;-;-
01053022;Dalldorf;142;142;142;-;-;161;161;161;-;-
01053023;Dassendorf;1095;1080;1080;-;15;1315;1297;1297;-;18
01053024;Düchelsdorf;56;49;49;-;7;69;62;62;-;7
01053025;Duvensee;159;150;150;-;9;227;215;215;-;12
01053026;Einhaus;135;135;135;-;-;169;169;169;-;-
01053027;Elmenhorst;261;251;251;-;10;373;356;356;-;17
01053028;Escheburg;1026;1012;1012;-;14;1495;1474;1474;-;21
01053029;Fitzen;164;158;158;-;6;196;187;187;-;9
01053030;Fredeburg;10;10;10;-;-;10;10;10;-;-
01053031;Fuhlenhagen;81;75;75;-;6;122;116;116;-;6
01053032;Geesthacht;7110;6879;6876;3;231;14605;14095;14080;15;510
01053033;Giesensdorf;46;43;43;-;3;74;71;71;-;3
01053034;Göldenitz;79;71;71;-;8;94;86;86;-;8
01053035;Göttin;32;29;29;-;3;35;32;32;-;3
01053036;Grabau;111;102;102;-;9;143;134;134;-;9
01053037;Grambek;172;166;166;-;6;208;202;202;-;6
01053038;Grinau;80;80;80;-;-;89;89;89;-;-
01053039;Groß Boden;76;76;76;-;-;100;100;100;-;-
01053040;Groß Disnack;31;27;27;-;4;43;36;36;-;7
01053041;Groß Grönau;1354;1338;1335;3;16;1657;1634;1628;6;23
01053042;Groß Pampau;52;49;49;-;3;64;61;61;-;3
01053043;Groß Sarau;327;308;308;-;19;404;382;382;-;22
01053044;Groß Schenkenberg;183;180;180;-;3;232;222;222;-;10
01053045;Grove;91;85;85;-;6;113;107;107;-;6
01053046;Gudow;640;595;595;-;45;779;722;722;-;57
01053047;Gülzow;393;387;387;-;6;532;526;526;-;6
01053048;Güster;623;611;611;-;12;699;687;687;-;12
01053049;Hamfelde;180;174;174;-;6;243;231;231;-;12
01053050;Hamwarde;251;241;241;-;10;335;322;322;-;13
01053051;Harmsdorf;97;91;91;-;6;116;110;110;-;6
01053052;Havekost;52;49;49;-;3;83;80;80;-;3
01053053;Hohenhorn;169;166;166;-;3;232;229;229;-;3
01053054;Hollenbek;165;156;156;-;9;212;193;193;-;19
01053056;Hornbek;80;76;76;-;4;104;100;100;-;4
01053057;Horst;95;95;95;-;-;111;111;111;-;-
01053058;Juliusburg;57;50;50;-;7;89;73;73;-;16
01053059;Kankelau;64;58;58;-;6;84;78;78;-;6
01053060;Kasseburg;181;165;165;-;16;247;221;221;-;26
01053061;Kastorf;397;375;375;-;22;484;462;462;-;22
01053062;Kittlitz;100;97;97;-;3;148;139;139;-;9
01053064;Klein Pampau;210;207;207;-;3;273;264;264;-;9
01053066;Klein Zecher;98;92;92;-;6;116;107;107;-;9
01053067;Klempau;224;221;221;-;3;251;245;245;-;6
01053068;Klinkrade;193;190;190;-;3;270;263;263;-;7
01053069;Koberg;254;251;251;-;3;334;331;331;-;3
01053070;Köthel;93;93;93;-;-;111;111;111;-;-
01053071;Kollow;205;193;193;-;12;265;247;247;-;18
01053072;Kröppelshagen-Fahrendorf;404;404;404;-;-;497;497;497;-;-
01053073;Krüzen;112;109;109;-;3;139;136;136;-;3
01053074;Krukow;56;53;53;-;3;74;71;71;-;3
01053075;Krummesse;606;597;597;-;9;738;726;726;-;12
01053076;Kuddewörde;447;444;444;-;3;560;548;548;-;12
01053077;Kühsen;132;120;120;-;12;179;164;164;-;15
01053078;Kulpin;67;67;67;-;-;95;95;95;-;-
01053079;Labenz;271;261;261;-;10;362;343;343;-;19
01053080;Langenlehsten;51;48;48;-;3;84;81;81;-;3
01053081;Lankau;183;167;167;-;16;219;203;203;-;16
01053082;Lanze;99;90;90;-;9;148;139;139;-;9
01053083;Lauenburg/Elbe;3155;3043;3043;-;112;5608;5332;5332;-;276
01053084;Lehmrade;148;145;145;-;3;197;188;188;-;9
01053085;Linau;422;404;404;-;18;520;499;499;-;21
01053086;Lüchow;100;94;94;-;6;139;130;130;-;9
01053087;Lütau;219;210;210;-;9;304;289;289;-;15
01053088;Mechow;36;33;33;-;3;46;43;43;-;3
01053089;Möhnsen;170;161;161;-;9;245;233;233;-;12
01053090;Mölln;5177;5001;5001;-;176;9603;9262;8993;269;341
01053091;Mühlenrade;66;63;63;-;3;93;87;87;-;6
01053092;Müssen;362;359;359;-;3;440;431;431;-;9
01053093;Mustin;269;260;260;-;9;342;330;324;6;12
01053094;Niendorf bei Berkenthin;64;60;60;-;4;86;79;79;-;7
01053095;Niendorf/Stecknitz;216;213;213;-;3;291;282;282;-;9
01053096;Nusse;358;334;334;-;24;445;405;405;-;40
01053097;Panten;290;272;272;-;18;338;320;320;-;18
01053098;Pogeez;146;146;146;-;-;194;194;194;-;-
01053099;Poggensee;113;109;109;-;4;137;130;130;-;7
01053100;Ratzeburg;3718;3599;3596;3;119;6934;6705;6564;141;229
01053101;Ritzerau;96;87;87;-;9;119;104;104;-;15
01053102;Römnitz;23;19;19;-;4;29;25;25;-;4
01053103;Rondeshagen;263;252;252;-;11;353;330;330;-;23
01053104;Roseburg;199;196;196;-;3;245;242;242;-;3
01053105;Sachsenwald;-;-;x;x;x;-;-;x;x;x
01053106;Sahms;127;120;120;-;7;168;155;155;-;13
01053107;Salem;289;283;283;-;6;349;343;343;-;6
01053108;Sandesneben;549;529;529;-;20;686;651;651;-;35
01053109;Schiphorst;185;182;182;-;3;243;234;234;-;9
01053110;Schmilau;217;211;211;-;6;267;261;261;-;6
01053111;Schnakenbek;320;311;311;-;9;367;355;355;-;12
01053112;Schönberg;429;410;410;-;19;587;562;562;-;25
01053113;Schretstaken;160;160;160;-;-;231;225;225;-;6
01053114;Schürensöhlen;58;58;58;-;-;70;70;70;-;-
01053115;Schulendorf;158;149;149;-;9;194;185;185;-;9
01053116;Schwarzenbek;3604;3492;3492;-;112;6914;6685;6671;14;229
