GENESIS-Tabelle: 036-01-5-B
Gebäude mit Wohnraum und Wohnungen nach Gebäudearten;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes
;;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09472197;Waischenfeld, St;956;893;890;3;63;1298;1220;1204;16;78
09472198;Warmensteinach;773;705;702;3;68;1309;1226;1214;12;83
09472199;Weidenberg, M;1785;1718;1715;3;67;2863;2725;2707;18;138
09472444;Gem.fr. Geb. Bayreuth;-;-;x;x;x;-;-;x;x;x
09473112;Ahorn;1318;1282;1282;-;36;1861;1804;1804;-;57
09473120;Dörfles-Esbach;838;802;802;-;36;2107;2047;2047;-;60
09473121;Ebersdorf b.Coburg;1692;1642;1642;-;50;2661;2579;2575;4;82
09473132;Großheirath;784;750;750;-;34;1052;1012;1012;-;40
09473134;Grub a.Forst;927;895;895;-;32;1299;1258;1258;-;41
09473138;Itzgrund;760;723;723;-;37;979;933;933;-;46
09473141;Lautertal;1226;1199;1199;-;27;1897;1852;1848;4;45
09473144;Meeder;1146;1105;1105;-;41;1574;1530;1522;8;44
09473151;Neustadt b.Coburg, GKSt;4018;3839;3832;7;179;7638;7337;7324;13;301
09473153;Niederfüllbach;423;414;414;-;9;720;696;693;3;24
09473158;Bad Rodach, St;1856;1788;1788;-;68;3189;3080;3044;36;109
09473159;Rödental, St;3719;3594;3594;-;125;6358;6168;6139;29;190
09473165;Seßlach, St;1252;1201;1201;-;51;1676;1588;1588;-;88
09473166;Sonnefeld;1492;1426;1426;-;66;2257;2154;2142;12;103
09473170;Untersiemau;1263;1213;1213;-;50;1921;1859;1859;-;62
09473174;Weidhausen b.Coburg;922;899;899;-;23;1447;1395;1395;-;52
09473175;Weitramsdorf;1510;1480;1480;-;30;2315;2244;2240;4;71
09473444;Gem.fr. Geb. Coburg;-;-;x;x;x;-;-;x;x;x
09474119;Dormitz;582;573;573;-;9;831;822;822;-;9
09474121;Ebermannstadt, St;1931;1818;1818;-;113;3337;3151;3110;41;186
09474122;Effeltrich;777;759;759;-;18;1075;1047;1047;-;28
09474123;Eggolsheim, M;1864;1804;1804;-;60;2762;2684;2684;-;78
09474124;Egloffstein, M;711;691;691;-;20;940;908;908;-;32
09474126;Forchheim, GKSt;7207;6858;6852;6;349;15063;14431;14367;64;632
09474129;Gößweinstein, M;1252;1167;1167;-;85;1886;1770;1770;-;116
09474132;Gräfenberg, St;1272;1226;1226;-;46;1937;1840;1840;-;97
09474133;Hallerndorf;1179;1155;1155;-;24;1662;1634;1634;-;28
09474134;Hausen;1004;983;983;-;21;1609;1579;1579;-;30
09474135;Heroldsbach;1423;1399;1399;-;24;2133;2091;2091;-;42
09474137;Hetzles;393;384;384;-;9;530;518;518;-;12
09474138;Hiltpoltstein, M;539;523;523;-;16;712;696;696;-;16
09474140;Igensdorf, M;1580;1544;1544;-;36;2064;2019;2019;-;45
09474143;Kirchehrenbach;648;623;623;-;25;984;953;953;-;31
09474144;Kleinsendelbach;490;481;481;-;9;661;652;652;-;9
09474145;Kunreuth;433;415;415;-;18;605;580;580;-;25
09474146;Langensendelbach;866;851;851;-;15;1236;1206;1206;-;30
09474147;Leutenbach;507;501;501;-;6;696;684;684;-;12
09474154;Neunkirchen a.Brand, M;2410;2334;2334;-;76;3426;3287;3287;-;139
09474156;Obertrubach;635;610;610;-;25;944;895;895;-;49
09474158;Pinzberg;560;557;557;-;3;848;832;832;-;16
09474160;Poxdorf;431;425;425;-;6;646;637;637;-;9
09474161;Pretzfeld, M;737;713;713;-;24;1067;1030;1030;-;37
09474168;Unterleinleiter;369;363;360;3;6;506;497;491;6;9
09474171;Weilersbach;593;583;583;-;10;890;877;867;10;13
09474173;Weißenohe;338;329;329;-;9;524;497;497;-;27
09474175;Wiesenthau;505;496;496;-;9;704;692;692;-;12
09474176;Wiesenttal, M;863;800;800;-;63;1133;1061;1061;-;72
09475112;Bad Steben, M;1166;1094;1091;3;72;2259;2147;1882;265;112
09475113;Berg;832;815;815;-;17;1193;1170;1164;6;23
09475120;Döhlau;1299;1283;1283;-;16;1832;1806;1806;-;26
09475123;Feilitzsch;829;808;808;-;21;1199;1165;1165;-;34
09475127;Gattendorf;359;350;350;-;9;509;500;500;-;9
09475128;Geroldsgrün;1088;1039;1039;-;49;1440;1373;1373;-;67
09475136;Helmbrechts, St;3062;2900;2900;-;162;4823;4569;4551;18;254
09475137;Issigau;394;387;387;-;7;546;526;526;-;20
09475141;Köditz;796;775;775;-;21;1298;1274;1274;-;24
09475142;Konradsreuth;1013;970;970;-;43;1607;1539;1536;3;68
09475145;Leupoldsgrün;456;453;453;-;3;616;610;610;-;6
09475146;Lichtenberg, St;496;475;475;-;21;678;657;657;-;21
09475154;Münchberg, St;3042;2853;2846;7;189;5589;5268;5150;118;321
09475156;Naila, St;2480;2378;2378;-;102;4286;4089;4089;-;197
09475158;Oberkotzau, M;1546;1495;1495;-;51;2690;2597;2597;-;93
09475161;Regnitzlosau;870;834;834;-;36;1149;1101;1101;-;48
09475162;Rehau, St;2734;2614;2614;-;120;4915;4703;4700;3;212
09475165;Schauenstein, St;757;736;736;-;21;1042;1012;1012;-;30
09475168;Schwarzenbach a.d.Saale, St;2234;2129;2129;-;105;3783;3616;3616;-;167
09475169;Schwarzenbach a.Wald, St;1771;1698;1698;-;73;2692;2589;2589;-;103
09475171;Selbitz, St;1432;1353;1350;3;79;2240;2103;2094;9;137
09475174;Sparneck, M;617;588;588;-;29;864;832;832;-;32
09475175;Stammbach, M;909;871;871;-;38;1224;1177;1177;-;47
09475181;Töpen;359;343;343;-;16;498;478;478;-;20
09475182;Trogen;433;418;415;3;15;710;689;682;7;21
09475184;Weißdorf;424;412;412;-;12;601;573;573;-;28
09475189;Zell im Fichtelgebirge, M;678;642;642;-;36;982;943;943;-;39
09475444;Gem.fr. Geb. Hof;-;-;x;x;x;-;-;x;x;x
09476145;Kronach, St;5034;4717;4717;-;317;8666;8107;8095;12;559
09476146;Küps, M;2484;2415;2412;3;69;3615;3510;3503;7;105
09476152;Ludwigsstadt, St;1232;1165;1165;-;67;1723;1641;1641;-;82
09476154;Mitwitz, M;885;845;845;-;40;1304;1232;1232;-;72
09476159;Nordhalben, M;746;709;709;-;37;953;904;904;-;49
09476164;Pressig, M;1227;1181;1181;-;46;1883;1807;1807;-;76
09476166;Reichenbach;278;265;265;-;13;367;348;329;19;19
09476171;Schneckenlohe;356;341;341;-;15;457;436;436;-;21
09476175;Steinbach a.Wald;1067;1024;1024;-;43;1486;1425;1425;-;61
09476177;Steinwiesen, M;1169;1121;1121;-;48;1675;1615;1615;-;60
09476178;Stockheim;1620;1560;1560;-;60;2307;2214;2205;9;93
09476179;Tettau, M;769;742;742;-;27;1105;1048;1048;-;57
09476180;Teuschnitz, St;725;694;694;-;31;981;937;929;8;44
09476182;Tschirn;209;209;209;-;-;262;262;262;-;-
09476183;Marktrodach, M;1299;1265;1262;3;34;1838;1791;1779;12;47
09476184;Wallenfels, St;964;914;914;-;50;1427;1359;1359;-;68
09476185;Weißenbrunn;998;964;964;-;34;1443;1406;1406;-;37
09476189;Wilhelmsthal;1233;1209;1209;-;24;1660;1624;1624;-;36
09476444;Gem.fr. Geb. Kronach;-;-;x;x;x;-;-;x;x;x
09477117;Grafengehaig, M;401;385;385;-;16;521;499;499;-;22
09477118;Guttenberg;194;188;188;-;6;268;262;262;-;6
09477119;Harsdorf;320;314;314;-;6;451;442;442;-;9
09477121;Himmelkron;933;905;902;3;28;1426;1389;1383;6;37
09477124;Kasendorf, M;756;733;733;-;23;1100;1074;1074;-;26
09477127;Ködnitz;534;527;527;-;7;778;765;765;-;13
09477128;Kulmbach, GKSt;7164;6875;6869;6;289;14157;13566;13466;100;591
09477129;Kupferberg, St;370;361;361;-;9;531;516;516;-;15
09477135;Ludwigschorgast, M;326;320;320;-;6;480;474;474;-;6
09477136;Mainleus, M;1897;1834;1834;-;63;2981;2871;2865;6;110
09477138;Marktleugast, M;1170;1123;1120;3;47;1613;1530;1524;6;83
09477139;Marktschorgast, M;502;481;481;-;21;740;715;715;-;25
09477142;Neudrossenfeld;1237;1209;1209;-;28;1669;1632;1632;-;37
09477143;Neuenmarkt;883;849;849;-;34;1441;1394;1382;12;47
09477148;Presseck, M;781;741;738;3;40;1051;987;975;12;64
09477151;Rugendorf;341;335;335;-;6;448;436;436;-;12
09477156;Stadtsteinach, St;1044;976;976;-;68;1596;1492;1492;-;104
09477157;Thurnau, M;1363;1313;1313;-;50;1935;1849;1849;-;86
09477158;Trebgast;552;530;530;-;22;773;745;745;-;28
09477159;Untersteinach;618;591;591;-;27;949;910;910;-;39
09477163;Wirsberg, M;546;521;521;-;25;972;931;931;-;41
09477164;Wonsees, M;372;362;362;-;10;471;455;455;-;16
09478111;Altenkunstadt;1590;1513;1513;-;77;2464;2342;2338;4;122
09478116;Burgkunstadt, St;1991;1891;1891;-;100;3037;2848;2848;-;189
09478120;Ebensfeld, M;1640;1604;1600;4;36;2439;2369;2324;45;70
09478127;Hochstadt a.Main;515;506;506;-;9;715;697;697;-;18
09478139;Lichtenfels, St;5765;5485;5476;9;280;9860;9390;9250;140;470
09478143;Marktgraitz, M;423;405;405;-;18;550;526;526;-;24
09478144;Marktzeuln, M;525;515;515;-;10;722;706;706;-;16
09478145;Michelau i.OFr.;2109;2035;2029;6;74;2917;2801;2785;16;116
09478155;Redwitz a.d.Rodach;1024;986;986;-;38;1586;1518;1518;-;68
09478165;Bad Staffelstein, St;2974;2810;2798;12;164;5021;4781;4612;169;240
09478176;Weismain, St;1437;1362;1362;-;75;2006;1888;1888;-;118
09478444;Gem.fr. Geb. Lichtenfels;-;-;x;x;x;-;-;x;x;x
09479111;Bad Alexandersbad;268;250;250;-;18;501;462;462;-;39
09479112;Arzberg, St;1763;1691;1688;3;72;3092;2939;2930;9;153
09479126;Höchstädt i.Fichtelgebirge;397;382;382;-;15;516;498;498;-;18
09479127;Hohenberg a.d.Eger, St;516;486;486;-;30;787;742;742;-;45
09479129;Kirchenlamitz, St;1189;1138;1138;-;51;1831;1749;1749;-;82
09479135;Marktleuthen, St;1092;1033;1033;-;59;1656;1569;1562;7;87
09479136;Marktredwitz, GKSt;4481;4286;4283;3;195;9215;8836;8737;99;379
09479138;Nagel;664;640;640;-;24;999;972;972;-;27
09479145;Röslau;782;743;743;-;39;1101;1059;1059;-;42
09479147;Schirnding, M;447;438;438;-;9;820;805;805;-;15
09479150;Schönwald, St;988;961;961;-;27;1861;1816;1816;-;45
09479152;Selb, GKSt;4508;4284;4275;9;224;8993;8624;8550;74;369
09479158;Thiersheim, M;674;634;634;-;40;993;938;938;-;55
09479159;Thierstein, M;421;409;409;-;12;623;602;602;-;21
09479161;Tröstau;840;818;818;-;22;1143;1108;1108;-;35
09479166;Weißenstadt, St;1186;1107;1107;-;79;1819;1697;1697;-;122
09479169;Wunsiedel, St;2758;2573;2567;6;185;5067;4752;4674;78;315
09479444;Gem.fr. Geb. Wunsiedel i.Fichtelgebirge;-;-;x;x;x;-;-;x;x;x
09561000;Ansbach;9634;9123;9114;9;511;20999;19920;19602;318;1079
09562000;Erlangen;19006;18295;18212;83;711;60011;58403;54591;3812;1608
09563000;Fürth;18858;18257;18242;15;601;60272;58722;58330;392;1550
09564000;Nürnberg;71408;69037;68935;102;2371;266267;258907;255218;3689;7360
09565000;Schwabach;9595;9268;9258;10;327;18983;18395;18275;120;588
09571111;Adelshofen;294;282;282;-;12;379;364;364;-;15
09571113;Arberg, M;740;729;726;3;11;954;943;934;9;11
09571114;Aurach;916;889;889;-;27;1209;1182;1182;-;27
09571115;Bechhofen, M;1801;1729;1726;3;72;2698;2597;2420;177;101
09571122;Bruckberg;292;286;286;-;6;417;408;408;-;9
09571125;Buch a.Wald;297;279;279;-;18;405;387;387;-;18
09571127;Burgoberbach;999;974;974;-;25;1484;1434;1434;-;50
09571128;Burk;337;328;328;-;9;446;437;437;-;9
09571130;Colmberg, M;611;585;585;-;26;830;776;776;-;54
09571132;Dentlein a.Forst, M;774;755;755;-;19;1050;1022;1022;-;28
09571134;Diebach;357;345;345;-;12;440;428;428;-;12
09571135;Dietenhofen, M;1522;1477;1477;-;45;2322;2237;2222;15;85
09571136;Dinkelsbühl, GKSt;3306;3114;3111;3;192;5646;5343;5239;104;303
09571137;Dombühl, M;462;447;447;-;15;693;672;672;-;21
09571139;Dürrwangen, M;819;786;786;-;33;1094;1043;1043;-;51
09571141;Ehingen;625;609;609;-;16;809;790;790;-;19
09571145;Feuchtwangen, St;3383;3218;3218;-;165;5293;5055;5017;38;238
09571146;Flachslanden, M;791;774;774;-;17;1050;1026;1026;-;24
09571152;Gebsattel;536;518;518;-;18;772;751;751;-;21
09571154;Gerolfingen;348;339;339;-;9;442;430;430;-;12
09571155;Geslau;427;418;418;-;9;554;542;542;-;12
09571165;Heilsbronn, St;2474;2399;2395;4;75;4078;3959;3865;94;119
09571166;Herrieden, St;2319;2250;2250;-;69;3243;3147;3147;-;96
09571169;Insingen;333;314;314;-;19;458;436;436;-;22
09571170;Langfurth;636;624;624;-;12;870;858;858;-;12
09571171;Lehrberg, M;945;908;908;-;37;1382;1325;1325;-;57
09571174;Leutershausen, St;1687;1623;1623;-;64;2374;2276;2276;-;98
09571175;Lichtenau, M;1146;1115;1115;-;31;1677;1616;1616;-;61
09571177;Merkendorf, St;811;781;781;-;30;1207;1158;1154;4;49
09571178;Mitteleschenbach;471;462;462;-;9;662;650;650;-;12
09571179;Mönchsroth;506;485;485;-;21;687;654;654;-;33
09571180;Neuendettelsau;1656;1605;1599;6;51;3268;3163;3035;128;105
09571181;Neusitz;645;627;627;-;18;867;843;843;-;24
09571183;Oberdachstetten;533;521;521;-;12;687;672;672;-;15
09571188;Ohrenbach;185;185;185;-;-;251;251;251;-;-
09571189;Ornbau, St;545;528;528;-;17;706;683;683;-;23
09571190;Petersaurach;1449;1409;1409;-;40;2155;2100;2093;7;55
09571192;Röckingen;237;228;228;-;9;305;296;296;-;9
09571193;Rothenburg ob der Tauber, GKSt;3091;2810;2798;12;281;5899;5387;5341;46;512
09571194;Rügland;434;425;425;-;9;563;548;548;-;15
09571196;Sachsen b.Ansbach;1032;1009;1009;-;23;1498;1463;1463;-;35
09571198;Schillingsfürst, St;760;727;724;3;33;1222;1161;1152;9;61
09571199;Schnelldorf;1028;996;996;-;32;1450;1403;1403;-;47
09571200;Schopfloch, M;912;889;889;-;23;1296;1270;1270;-;26
09571205;Steinsfeld;405;393;393;-;12;525;510;510;-;15
09571208;Unterschwaningen;284;272;272;-;12;363;345;345;-;18
09571214;Wassertrüdingen, St;1660;1577;1577;-;83;2651;2526;2526;-;125
09571216;Weidenbach, M;685;651;638;13;34;1319;1224;938;286;95
09571217;Weihenzell;822;798;795;3;24;1188;1157;1103;54;31
09571218;Weiltingen, M;436;415;415;-;21;547;520;520;-;27
09571222;Wettringen;302;299;299;-;3;391;385;385;-;6
09571223;Wieseth;417;408;408;-;9;557;537;537;-;20
09571224;Wilburgstetten;703;682;682;-;21;905;874;874;-;31
09571225;Windelsbach;322;313;313;-;9;416;404;404;-;12
09571226;Windsbach, St;1697;1633;1633;-;64;2488;2390;2390;-;98
09571227;Wittelshofen;388;373;373;-;15;495;477;477;-;18
09571228;Wörnitz;473;470;470;-;3;679;667;667;-;12
09571229;Wolframs-Eschenbach, St;854;834;834;-;20;1177;1145;1145;-;32
09571444;Gem.fr. Geb. Ansbach;-;-;x;x;x;-;-;x;x;x
09572111;Adelsdorf;2044;1974;1974;-;70;3072;2962;2962;-;110
09572114;Aurachtal;890;868;868;-;22;1322;1288;1288;-;34
09572115;Baiersdorf, St;2143;2082;2082;-;61;3451;3355;3331;24;96
09572119;Bubenreuth;1295;1265;1262;3;30;2100;2052;2040;12;48
09572120;Buckenhof;872;872;869;3;0;1549;1519;1510;9;30
09572121;Eckental, M;4205;4102;4102;-;103;6370;6218;6218;-;152
09572126;Gremsdorf;386;367;367;-;19;518;499;499;-;19
09572127;Großenseebach;730;724;724;-;6;1007;998;998;-;9
09572130;Hemhofen;1432;1386;1386;-;46;2346;2269;2269;-;77
09572131;Heroldsberg, M;2462;2412;2409;3;50;3893;3791;3708;83;102
09572132;Herzogenaurach, St;5710;5522;5512;10;188;10443;10143;10091;52;300
09572133;Heßdorf;961;928;928;-;33;1539;1491;1478;13;48
09572135;Höchstadt a.d.Aisch, St;3693;3565;3565;-;128;5666;5478;5478;-;188
09572137;Kalchreuth;914;887;887;-;27;1398;1355;1355;-;43
09572139;Lonnerstadt, M;630;619;619;-;11;864;850;850;-;14
09572141;Marloffstein;546;537;537;-;9;744;729;729;-;15
09572142;Möhrendorf;1309;1297;1297;-;12;2011;1984;1984;-;27
09572143;Mühlhausen, M;493;472;472;-;21;739;706;706;-;33
09572147;Oberreichenbach;354;338;338;-;16;472;453;453;-;19
09572149;Röttenbach;1341;1296;1296;-;45;2081;1999;1999;-;82
09572154;Spardorf;566;551;551;-;15;910;886;886;-;24
09572158;Uttenreuth;1496;1475;1475;-;21;2205;2159;2159;-;46
09572159;Vestenbergsgreuth, M;496;487;487;-;9;646;619;619;-;27
09572160;Wachenroth, M;604;586;586;-;18;840;822;822;-;18
09572164;Weisendorf, M;1766;1713;1713;-;53;2750;2679;2679;-;71
09572444;Gem.fr. Geb. Erlangen-Höchstadt;-;-;x;x;x;-;-;x;x;x
09573111;Ammerndorf, M;583;562;562;-;21;1008;966;956;10;42
09573114;Cadolzburg, M;3047;2956;2953;3;91;4708;4564;4545;19;144
09573115;Großhabersdorf;1168;1131;1131;-;37;1838;1779;1779;-;59
09573120;Langenzenn, St;2882;2780;2771;9;102;4770;4625;4571;54;145
09573122;Oberasbach, St;4510;4431;4425;6;79;8454;8321;8287;34;133
09573123;Obermichelbach;989;979;979;-;10;1350;1340;1340;-;10
09573124;Puschendorf;611;602;602;-;9;874;858;858;-;16
09573125;Roßtal, M;2861;2787;2787;-;74;4504;4395;4337;58;109
09573126;Seukendorf;877;858;858;-;19;1374;1349;1349;-;25
09573127;Stein, St;3002;2925;2919;6;77;7188;7043;6952;91;145
09573129;Tuchenbach;425;418;418;-;7;565;555;555;-;10
09573130;Veitsbronn;1630;1589;1589;-;41;3026;2926;2926;-;100
09573133;Wilhermsdorf, M;1494;1449;1446;3;45;2292;2217;2201;16;75
09573134;Zirndorf, St;6497;6335;6332;3;162;12040;11711;11686;25;329
09574111;Alfeld;379;363;363;-;16;535;510;510;-;25
09574112;Altdorf b.Nürnberg, St;4166;4027;4021;6;139;7274;6981;6781;200;293
09574117;Burgthann;3545;3478;3478;-;67;5041;4949;4949;-;92
09574120;Engelthal;378;360;360;-;18;518;494;494;-;24
09574123;Feucht, M;3304;3215;3212;3;89;6369;6210;6100;110;159
09574128;Happurg;1135;1101;1101;-;34;1745;1690;1678;12;55
09574129;Hartenstein;413;397;397;-;16;635;598;598;-;37
09574131;Henfenfeld;570;554;554;-;16;844;822;822;-;22
09574132;Hersbruck, St;3241;3047;3044;3;194;6111;5773;5749;24;338
09574135;Kirchensittenbach;666;641;641;-;25;869;822;822;-;47
09574138;Lauf a.d.Pegnitz, St;6315;6069;6066;3;246;12687;12300;12194;106;387
09574139;Leinburg;1863;1773;1773;-;90;2942;2822;2822;-;120
09574140;Neuhaus a.d.Pegnitz, M;837;799;799;-;38;1338;1281;1281;-;57
09574141;Neunkirchen a.Sand;1215;1192;1192;-;23;2357;2316;2096;220;41
09574145;Offenhausen;505;493;493;-;12;684;669;669;-;15
09574146;Ottensoos;628;599;599;-;29;896;863;863;-;33
09574147;Pommelsbrunn;1712;1658;1658;-;54;2481;2405;2405;-;76
09574150;Reichenschwand;698;672;672;-;26;1056;1027;1027;-;29
09574152;Röthenbach a.d.Pegnitz, St;2677;2585;2582;3;92;5726;5564;5561;3;162
09574154;Rückersdorf;1517;1483;1483;-;34;2199;2152;2137;15;47
09574155;Schnaittach, M;2260;2195;2192;3;65;3709;3611;3605;6;98
09574156;Schwaig b.Nürnberg;2510;2465;2465;-;45;4248;4171;4162;9;77
09574157;Schwarzenbruck;2430;2365;2359;6;65;3812;3722;3555;167;90
09574158;Simmelsdorf;992;959;959;-;33;1395;1328;1328;-;67
09574160;Velden, St;541;508;505;3;33;801;761;752;9;40
09574161;Vorra;523;513;513;-;10;730;720;720;-;10
09574164;Winkelhaid;1191;1177;1177;-;14;1841;1818;1818;-;23
09574444;Gem.fr. Geb. Nürnberger Land;-;-;x;x;x;-;-;x;x;x
09575112;Bad Windsheim, St;3111;2943;2934;9;168;5708;5418;5375;43;290
09575113;Baudenbach, M;377;364;364;-;13;478;465;465;-;13
09575115;Burgbernheim, St;980;956;956;-;24;1489;1453;1453;-;36
09575116;Burghaslach, M;808;768;768;-;40;1076;1021;1021;-;55
09575117;Dachsbach, M;545;530;530;-;15;718;691;691;-;27
09575118;Diespeck;1069;1033;1033;-;36;1592;1524;1524;-;68
09575119;Dietersheim;625;610;607;3;15;876;854;845;9;22
09575121;Emskirchen, M;1759;1681;1681;-;78;2640;2529;2529;-;111
09575122;Ergersheim;346;343;343;-;3;479;473;467;6;6
09575124;Gallmersgarten;239;239;239;-;0;325;322;322;-;3
09575125;Gerhardshofen;758;740;740;-;18;1031;1010;1010;-;21
09575127;Gollhofen;253;249;249;-;4;328;321;321;-;7
09575128;Gutenstetten;418;399;399;-;19;574;552;545;7;22
09575129;Hagenbüchach;394;391;391;-;3;520;517;517;-;3
09575130;Hemmersheim;218;218;218;-;-;264;264;264;-;0
09575133;Illesheim;318;308;308;-;10;407;391;391;-;16
09575134;Ippesheim, M;409;400;400;-;9;506;494;494;-;12
09575135;Ipsheim, M;667;640;640;-;27;932;881;878;3;51
09575138;Langenfeld;331;325;325;-;6;434;422;422;-;12
09575143;Marktbergel, M;518;503;503;-;15;736;715;715;-;21
09575144;Markt Bibart, M;607;587;584;3;20;855;811;805;6;44
09575145;Markt Erlbach, M;1635;1575;1575;-;60;2431;2338;2338;-;93
09575146;Markt Nordheim, M;371;354;354;-;17;477;453;453;-;24
09575147;Markt Taschendorf, M;358;351;351;-;7;434;427;427;-;7
09575150;Münchsteinach;517;505;505;-;12;678;660;660;-;18
09575152;Neuhof a.d.Zenn, M;642;632;632;-;10;922;897;897;-;25
09575153;Neustadt a.d.Aisch, St;3342;3144;3137;7;198;6121;5793;5720;73;328
09575155;Oberickelsheim;247;241;241;-;6;293;287;287;-;6
09575156;Obernzenn, M;787;754;754;-;33;1081;1032;1032;-;49
09575157;Oberscheinfeld, M;406;391;391;-;15;487;472;472;-;15
09575161;Scheinfeld, St;1381;1326;1326;-;55;1996;1920;1911;9;76
09575163;Simmershofen;297;291;291;-;6;362;353;353;-;9
09575165;Sugenheim, M;771;737;737;-;34;965;925;925;-;40
09575166;Trautskirchen;407;388;388;-;19;561;533;533;-;28
09575167;Uehlfeld, M;855;818;818;-;37;1237;1183;1183;-;54
09575168;Uffenheim, St;1806;1700;1700;-;106;2865;2692;2680;12;173
09575179;Weigenheim;323;314;314;-;9;413;401;401;-;12
09575181;Wilhelmsdorf;419;396;393;3;23;611;585;578;7;26
09575444;Gem.fr. Geb. Neustadt a.d.Aisch-Bad Windsheim;-;-;x;x;x;-;-;x;x;x
09576111;Abenberg, St;1708;1634;1634;-;74;2323;2229;2183;46;94
09576113;Allersberg, M;2367;2277;2277;-;90;3453;3342;3342;-;111
09576117;Büchenbach;1468;1441;1441;-;27;2298;2251;2190;61;47
09576121;Georgensgmünd;2028;1974;1974;-;54;2935;2848;2819;29;87
09576122;Greding, St;2015;1943;1943;-;72;2849;2737;2737;-;112
09576126;Heideck, St;1453;1408;1408;-;45;1964;1910;1910;-;54
09576127;Hilpoltstein, St;3699;3602;3599;3;97;5290;5098;5092;6;192
09576128;Kammerstein;859;834;834;-;25;1186;1148;1148;-;38
09576132;Schwanstetten, M;2261;2226;2226;-;35;3284;3237;3230;7;47
09576137;Rednitzhembach;1999;1957;1951;6;42;3211;3136;3060;76;75
09576141;Röttenbach;833;811;811;-;22;1259;1237;1237;-;22
09576142;Rohr;1087;1063;1063;-;24;1516;1471;1471;-;45
09576143;Roth, St;6189;5976;5964;12;213;11462;11123;11038;85;339
09576147;Spalt, St;1612;1533;1530;3;79;2295;2184;2175;9;111
09576148;Thalmässing, M;1632;1567;1564;3;65;2223;2122;2096;26;101
09576151;Wendelstein, M;4760;4658;4655;3;102;7367;7177;7111;66;190
09576444;Gem.fr. Geb. Roth;-;-;x;x;x;-;-;x;x;x
09577111;Absberg, M;400;368;368;-;32;614;576;576;-;38
09577113;Alesheim;295;286;286;-;9;378;369;369;-;9
09577114;Muhr a.See;680;674;674;-;6;1132;1115;1115;-;17
09577115;Bergen;321;314;314;-;7;456;449;449;-;7
09577120;Burgsalach;360;357;357;-;3;464;458;458;-;6
09577122;Dittenheim;526;513;513;-;13;691;672;672;-;19
09577125;Ellingen, St;1140;1078;1078;-;62;1631;1535;1535;-;96
09577127;Ettenstatt;259;253;253;-;6;347;338;338;-;9
09577133;Gnotzheim, M;254;245;245;-;9;332;323;323;-;9
09577136;Gunzenhausen, St;4314;4078;4072;6;236;7810;7452;7384;68;358
09577138;Haundorf;821;809;809;-;12;1181;1160;1160;-;21
09577140;Heidenheim, M;796;765;765;-;31;1090;1055;1055;-;35
09577141;Höttingen;345;339;339;-;6;481;469;469;-;12
09577148;Langenaltheim;724;711;708;3;13;959;937;925;12;22
09577149;Markt Berolzheim, M;454;429;429;-;25;588;557;557;-;31
09577150;Meinheim;270;261;261;-;9;348;336;336;-;12
09577151;Nennslingen, M;414;395;395;-;19;541;519;519;-;22
09577158;Pappenheim, St;1168;1118;1118;-;50;1905;1818;1818;-;87
09577159;Pfofeld;462;440;440;-;22;680;655;655;-;25
09577161;Pleinfeld, M;2173;2102;2102;-;71;3485;3371;3325;46;114
09577162;Polsingen;531;512;512;-;19;661;639;639;-;22
09577163;Raitenbuch;341;335;335;-;6;444;435;432;3;9
09577168;Solnhofen;570;550;550;-;20;821;798;798;-;23
09577172;Theilenhofen;337;327;327;-;10;454;441;441;-;13
09577173;Treuchtlingen, St;3508;3352;3346;6;156;5988;5751;5723;28;237
09577177;Weißenburg i.Bay., GKSt;4648;4404;4404;-;244;8720;8240;8209;31;480
09577179;Westheim;388;376;376;-;12;496;478;478;-;18
09661000;Aschaffenburg;12798;12123;12108;15;675;35529;33715;33312;403;1814
09662000;Schweinfurt;9102;8532;8513;19;570;28090;26782;26293;489;1308
09663000;Würzburg;20253;19354;19227;127;899;74247;71581;67077;4504;2666
09671111;Alzenau, St;5325;5148;5145;3;177;8270;7962;7925;37;308
09671112;Bessenbach;1529;1470;1470;-;59;2573;2483;2483;-;90
09671113;Blankenbach;470;464;464;-;6;693;687;687;-;6
