AGS;Name;Insgesamt;Fernheizung (Fernwärme);Etagenheizung;Blockheizung;Zentralheizung;Einzel-oder Mehrraumöfen;keine Heizung im Gebäude
0733801006;Dannstadt-Schauernheim;2268;47;80;11;2014;109;7
0733801014;Hochdorf-Assenheim;952;23;36;6;841;43;3
0733801022;Rödersheim-Gronau;968;10;58;-;834;57;9
0733802;Dudenhofen, Verbandsgem.;3526;67;227;12;3011;176;33
0733802007;Dudenhofen;1831;24;151;6;1594;49;7
0733802010;Hanhofen;709;16;36;6;580;56;15
0733802011;Harthausen;986;27;40;-;837;71;11
0733803;Heßheim, Verbandsgem.;3256;60;130;6;2863;181;16
0733803002;Beindersheim;965;10;43;-;861;51;-
0733803009;Großniedesheim;463;10;10;3;406;25;9
0733803012;Heßheim;1082;37;56;-;928;61;-
0733803013;Heuchelheim bei Frankthal;436;-;15;-;382;32;7
0733803015;Kleinniedesheim;310;3;6;3;286;12;-
0733804;Maxdorf, Verbandsgem.;3971;100;181;18;3412;242;18
0733804003;Birkenheide;939;25;46;-;822;37;9
0733804008;Fußgönheim;811;18;21;3;701;68;-
0733804018;Maxdorf;2221;57;114;15;1889;137;9
0733805;Waldsee, Verbandsgem.;2764;42;245;3;2339;111;24
0733805021;Otterstadt;1109;20;88;3;942;47;9
0733805026;Waldsee;1655;22;157;-;1397;64;15
0733900005;Bingen am Rhein, verbandsfr. Gemeinde;6262;148;579;29;4899;573;34
0733900009;Budenheim, verbandsfr. Gemeinde;1913;71;164;10;1625;43;-
0733900030;Ingelheim am Rhein, verbandsfr. Gemeinde;6314;102;507;15;5470;188;32
0733901;Rhein-Nahe, Verbandsgem.;5605;199;154;27;4488;657;80
0733901003;Bacharach;776;-;14;6;649;95;12
0733901007;Breitscheid, Hunsrück;59;-;-;-;49;10;-
0733901036;Manubach;155;-;-;3;112;37;3
0733901038;Münster-Sarmsheim;985;38;53;3;819;72;-
0733901040;Niederheimbach;323;-;3;3;240;70;7
0733901044;Oberdiebach;331;3;-;-;284;28;16
0733901045;Oberheimbach;236;-;-;-;177;53;6
0733901058;Trechtingshausen;381;3;10;-;312;53;3
0733901062;Waldalgesheim;1442;145;50;12;1037;165;33
0733901063;Weiler bei Bingen;917;10;24;-;809;74;-
0733902;Bodenheim, Verbandsgem.;5688;97;290;24;5009;240;28
0733902006;Bodenheim;2151;34;138;6;1880;90;3
0733902020;Gau-Bischofsheim;586;3;21;-;538;24;-
0733902026;Harxheim;691;21;22;-;620;18;10
0733902034;Lörzweiler;708;6;22;6;621;53;-
0733902039;Nackenheim;1552;33;87;12;1350;55;15
0733903;Gau-Algesheim, Verbandsgem.;5178;128;187;9;4484;355;15
0733903001;Appenheim;502;3;27;3;422;47;-
0733903008;Bubenheim, Rheinhessen;304;6;9;-;263;23;3
0733903016;Engelstadt;247;7;6;-;218;16;-
0733903019;Gau-Algesheim;1966;76;76;3;1685;123;3
0733903041;Nieder-Hilbersheim;219;-;3;-;196;20;-
0733903046;Ober-Hilbersheim;359;6;-;-;328;22;3
0733903048;Ockenheim;770;12;38;-;670;50;-
0733903051;Schwabenheim an der Selz;811;18;28;3;702;54;6
0733904;Guntersblum, Verbandsgem.;3307;63;76;3;2853;276;36
0733904013;Dolgesheim;328;3;13;-;300;9;3
0733904015;Eimsheim;221;9;3;-;182;21;6
0733904024;Guntersblum;1297;27;27;3;1116;109;15
0733904028;Hillesheim;221;-;-;-;187;31;3
0733904035;Ludwigshöhe;183;3;12;-;147;21;-
0733904059;Uelversheim;378;3;12;-;350;13;-
0733904064;Weinolsheim;243;9;3;-;194;31;6
0733904066;Wintersheim;104;3;-;-;94;7;-
0733904201;Dorn-Dürkheim;332;6;6;-;283;34;3
0733905;Heidesheim am Rhein, Verbandsgem.;2870;281;148;15;2351;54;21
0733905027;Heidesheim am Rhein;2145;278;124;12;1675;41;15
0733905061;Wackernheim;725;3;24;3;676;13;6
0733906;Nieder-Olm, Verbandsgem.;9059;524;285;102;7716;407;25
0733906017;Essenheim;1008;46;38;10;894;20;-
0733906031;Jugenheim in Rheinhessen;545;4;21;3;473;37;7
0733906032;Klein-Winternheim;1060;39;15;12;873;121;-
0733906042;Nieder-Olm;2371;400;61;56;1769;76;9
0733906047;Ober-Olm;1191;16;51;3;1091;27;3
0733906054;Sörgenloch;392;4;22;9;347;7;3
0733906057;Stadecken-Elsheim;1449;6;51;3;1301;85;3
0733906067;Zornheim;1043;9;26;6;968;34;-
0733907;Nierstein-Oppenheim, Verbandsgem.;9308;156;485;25;7932;635;75
0733907010;Dalheim;376;-;14;-;332;27;3
0733907011;Dexheim;439;3;26;-;377;27;6
0733907012;Dienheim;694;10;14;4;600;60;6
0733907018;Friesenheim, Rheinhessen;248;9;15;3;197;21;3
0733907025;Hahnheim;518;12;22;-;462;22;-
0733907033;Köngernheim;476;12;0;3;421;40;-
0733907037;Mommenheim;892;9;45;3;788;44;3
0733907043;Nierstein;2440;46;139;3;2049;167;36
0733907049;Oppenheim;1861;28;158;6;1490;164;15
0733907053;Selzen;531;17;19;-;468;27;-
0733907060;Undenheim;833;10;33;3;748;36;3
0733908;Sprendlingen-Gensingen, Verbandsgem.;4437;97;179;18;3818;277;48
0733908002;Aspisheim;343;9;21;-;277;33;3
0733908004;Badenheim;206;3;4;3;166;30;-
0733908021;Gensingen;1035;12;43;-;925;46;9
0733908022;Grolsheim;378;12;9;-;323;31;3
0733908029;Horrweiler;261;12;9;-;231;3;6
0733908050;Sankt Johann, Rheinhessen;258;6;4;-;227;21;-
0733908056;Sprendlingen;1268;27;63;12;1066;82;18
0733908065;Welgesheim;188;0;11;-;171;6;-
0733908068;Zotzenheim;233;16;12;3;187;12;3
0733908202;Wolfsheim;267;-;3;-;245;13;6
0734001;Dahner Felsenland, Verbandsgem.;5477;48;57;15;4800;465;92
0734001001;Bobenthal;140;-;-;-;124;13;3
0734001002;Busenberg;477;3;-;6;409;50;9
0734001004;Dahn;1422;10;28;3;1282;72;27
0734001009;Erfweiler;429;15;-;-;386;22;6
0734001010;Erlenbach bei Dahn;158;-;3;-;137;15;3
0734001011;Fischbach bei Dahn;601;7;-;-;536;55;3
0734001021;Hirschthal;60;-;3;-;54;3;-
0734001029;Ludwigswinkel;372;-;12;-;287;73;-
0734001033;Niederschlettenbach;118;-;-;-;106;6;6
0734001034;Nothweiler;74;-;4;3;48;19;-
0734001039;Rumbach;201;-;-;-;172;26;3
0734001043;Schindhard;210;-;4;-;182;17;7
0734001045;Schönau (Pfalz);202;3;3;-;170;16;10
0734001501;Bruchweiler-Bärenbach;601;6;-;3;546;37;9
0734001502;Bundenthal;412;4;-;-;361;41;6
0734002;Hauenstein, Verbandsgem.;3340;21;92;-;2913;271;43
0734002005;Darstein;70;-;-;-;67;-;3
0734002006;Dimbach;69;-;-;-;55;14;-
0734002014;Hauenstein;1450;6;57;-;1268;101;18
0734002020;Hinterweidenthal;575;6;16;-;481;69;3
0734002030;Lug, Pfalz;246;-;3;-;221;19;3
0734002047;Schwanheim;244;-;6;-;209;26;3
0734002049;Spirkelbach;267;3;3;-;238;16;7
0734002057;Wilgartswiesen;419;6;7;-;374;26;6
0734003;Pirmasens-Land, Verbandsgem.;4443;15;88;18;3896;371;55
0734003008;Eppenbrunn;506;-;10;3;445;39;9
0734003019;Hilst;146;-;15;-;103;22;6
0734003026;Kröppen;258;-;3;-;227;22;6
0734003028;Lemberg;1284;9;34;9;1153;72;7
0734003036;Obersimten;250;-;-;-;217;33;-
0734003040;Ruppertsweiler;526;-;9;-;471;34;12
0734003048;Schweix;137;-;-;3;124;7;3
0734003052;Trulben;468;-;3;3;397;62;3
0734003053;Vinningen;601;3;14;-;521;60;3
0734003205;Bottenbach;267;3;-;-;238;20;6
0734004;Rodalben, Verbandsgem.;5067;144;207;10;4305;350;51
0734004003;Clausen;573;24;12;3;501;33;-
0734004007;Donsieders;358;3;12;4;321;18;-
0734004027;Leimen, Pfalz;375;-;-;-;344;27;4
0734004031;Merzalben;476;12;18;-;399;47;0
0734004032;Münchweiler an der Rodalb;1015;31;38;-;898;31;17
0734004038;Rodalben;2270;74;127;3;1842;194;30
0734005;Thaleischweiler-Fröschen, Verbandsgem.;3910;66;101;20;3354;317;52
0734005023;Höheischweiler;311;-;10;3;268;26;4
0734005024;Höhfröschen;321;4;9;-;289;16;3
0734005035;Nünschweiler;301;-;-;10;242;43;6
0734005037;Petersberg, Pfalz;324;-;-;7;288;16;13
0734005051;Thaleischweiler-Fröschen;1205;43;51;-;1014;80;17
0734005217;Maßweiler;354;-;3;-;326;25;-
0734005220;Reifenberg;299;-;6;-;269;21;3
0734005222;Rieschweiler-Mühlbach;795;19;22;-;658;90;6
0734006;Waldfischbach-Burgalben, Verbandsgem.;4681;102;93;12;4116;302;56
0734006012;Geiselberg;306;9;3;-;284;10;-
0734006015;Heltersberg;792;10;18;3;730;24;7
0734006016;Hermersberg;665;-;3;-;616;39;7
0734006022;Höheinöd;490;-;3;-;404;56;27
0734006025;Horbach, Pfalz;221;3;3;-;190;25;-
0734006044;Schmalenberg;316;9;13;-;273;18;3
0734006050;Steinalben;165;12;-;-;140;13;-
0734006054;Waldfischbach-Burgalben;1726;59;50;9;1479;117;12
0734007;Wallhalben, Verbandsgem.;2780;16;36;23;2420;218;67
0734007017;Herschberg;349;3;-;3;308;19;16
0734007018;Hettenhausen;102;-;3;4;88;7;-
0734007041;Saalstadt;125;-;-;-;109;13;3
0734007042;Schauerberg;74;-;-;-;63;7;4
0734007055;Weselberg;510;10;-;10;462;28;-
0734007204;Biedershausen;75;-;3;-;52;17;3
0734007215;Knopp-Labach;189;-;3;-;156;27;3
0734007216;Krähenberg;76;-;-;3;70;-;3
0734007219;Obernheim-Kirchenarnbach;583;-;9;3;515;30;26
0734007224;Schmitshausen;150;-;-;-;135;15;-
0734007225;Wallhalben;348;3;9;-;307;26;3
0734007228;Winterbach (Pfalz);199;-;9;-;155;29;6
0734008;Zweibrücken-Land, Verbandsgem.;5694;61;127;9;4863;551;83
0734008201;Althornbach;240;4;6;-;200;27;3
0734008202;Battweiler;264;-;3;6;234;21;-
0734008203;Bechhofen, Pfalz;775;6;3;-;691;69;6
0734008206;Contwig;1610;34;57;-;1368;137;14
0734008207;Dellfeld;492;4;3;-;436;49;-
0734008208;Dietrichingen;119;-;-;-;115;4;-
0734008209;Großbundenbach;141;-;-;-;106;32;3
0734008210;Großsteinhausen;211;-;6;-;190;9;6
0734008211;Hornbach;491;13;34;-;386;42;16
0734008212;Käshofen;236;-;-;3;188;35;10
0734008213;Kleinbundenbach;143;-;6;-;118;19;-
0734008214;Kleinsteinhausen;259;-;6;-;216;31;6
0734008218;Mauschbach;100;-;-;-;85;12;3
0734008221;Riedelberg;165;-;3;-;135;24;3
0734008223;Rosenkopf;140;-;-;-;124;16;-
0734008226;Walshausen;125;-;-;-;109;7;9
0734008227;Wiesbach;183;-;-;-;162;17;4
08111000;Stuttgart, Landeshauptstadt;77412;4323;14469;588;47542;10321;169
08115001;Aidlingen;2453;25;52;6;2045;316;9
08115002;Altdorf, Kr Böblingen;1197;29;22;9;1042;86;9
08115003;Böblingen, Stadt;7769;2126;389;31;4338;879;6
08115004;Bondorf;1462;15;22;3;1244;175;3
08115010;Deckenpfronn;824;-;6;-;726;92;-
08115013;Ehningen;1904;22;43;10;1508;318;3
08115015;Gärtringen;2740;28;50;27;2380;246;9
08115016;Gäufelden;2395;28;48;6;2013;279;21
08115021;Herrenberg, Stadt;7718;82;306;63;6484;762;21
08115022;Hildrizhausen;918;3;12;6;802;92;3
08115024;Holzgerlingen;2883;153;110;83;2224;313;-
08115028;Leonberg, Stadt;9111;202;481;88;7312;1010;18
08115029;Magstadt;1885;35;69;7;1565;205;4
08115034;Mötzingen;1013;15;18;7;864;106;3
08115037;Nufringen;1525;35;42;17;1281;150;-
08115041;Renningen;3875;45;116;3;3278;427;6
08115042;Rutesheim, Stadt;2463;46;89;14;2008;300;6
08115044;Schönaich;2324;34;77;31;1887;292;3
08115045;Sindelfingen, Stadt;9149;699;505;118;6643;1169;15
08115046;Steinenbronn;1421;12;42;6;1258;100;3
08115048;Waldenbuch;2129;19;54;0;1788;258;10
08115050;Weil der Stadt;4843;30;149;34;3957;657;16
08115051;Weil im Schönbuch;2707;25;62;16;2343;244;17
08115052;Weissach;2182;9;49;3;1852;266;3
08115053;Jettingen;1985;26;46;-;1739;167;7
08115054;Grafenau, Württ;1746;8;42;3;1484;206;3
08116004;Altbach;1171;296;38;-;623;210;4
08116005;Altdorf, b Nürtingen;399;-;3;-;354;38;4
08116006;Altenriet;554;12;3;-;481;58;-
08116007;Baltmannsweiler;1506;60;36;26;1189;189;6
08116008;Bempflingen;983;6;28;-;828;121;-
08116011;Beuren, b Nürtingen;1051;0;36;3;884;125;3
08116012;Bissingen an der Teck;1084;0;28;6;869;175;6
08116014;Deizisau;1575;516;51;6;715;283;4
08116015;Denkendorf, Württ;2261;18;102;6;1885;247;3
08116016;Dettingen unter Teck;1524;28;44;23;1077;349;3
08116018;Erkenbrechtsweiler;671;3;9;-;546;110;3
08116019;Esslingen am Neckar, Stadt;15472;734;1775;232;10744;1885;102
08116020;Frickenhausen;2513;3;39;6;2066;390;9
08116022;Großbettlingen;1163;3;30;9;984;137;-
08116027;Hochdorf, b Plochingen;1300;15;42;25;982;233;3
08116029;Holzmaden;651;-;13;3;513;119;3
08116033;Kirchheim unter Teck, Stadt;8615;254;517;238;6196;1388;22
08116035;Köngen;2358;48;118;40;1882;267;3
08116036;Kohlberg, Württ;751;-;3;3;620;119;6
08116037;Lichtenwald;806;-;14;12;665;106;9
08116041;Neckartailfingen;1088;-;15;-;902;171;-
08116042;Neckartenzlingen;1466;13;25;7;1240;175;6
08116043;Neidlingen;540;-;15;3;386;133;3
08116046;Neuffen;1764;121;93;3;1370;173;4
08116047;Neuhausen auf den Fildern;2760;33;109;33;2362;217;6
08116048;Notzingen;1106;-;25;7;917;157;-
08116049;Nürtingen, Stadt;9329;533;504;124;6942;1211;15
08116050;Oberboihingen;1499;3;19;3;1218;256;-
08116053;Ohmden;561;-;9;3;415;134;-
08116054;Owen;1011;-;23;3;853;120;12
08116056;Plochingen;2501;315;229;21;1632;304;0
08116058;Reichenbach an der Fils;1612;9;151;6;1183;254;9
08116063;Schlaitdorf;581;-;10;-;489;79;3
08116068;Unterensingen;1204;6;37;9;975;174;3
08116070;Weilheim an der Teck;2632;16;42;0;1970;592;12
08116071;Wendlingen am Neckar;3407;21;156;21;2690;516;3
08116072;Wernau (Neckar);2481;37;230;18;1865;328;3
08116073;Wolfschlugen;1593;9;23;18;1367;170;6
08116076;Aichwald;2123;55;60;45;1820;140;3
08116077;Filderstadt, Stadt;8633;188;547;36;7056;764;42
08116078;Leinfelden-Echterdingen, Stadt;7157;82;480;34;5949;596;16
08116079;Lenningen;2533;13;78;13;1876;543;10
08116080;Ostfildern, Stadt;6839;867;401;77;4870;618;6
08116081;Aichtal;2736;3;59;15;2390;257;12
08117001;Adelberg;644;6;10;-;466;162;-
08117002;Aichelberg;386;3;7;-;322;54;-
08117003;Albershausen;1198;12;39;12;930;202;3
08117006;Bad Ditzenbach;997;7;27;10;861;89;3
08117007;Bad Überkingen;1141;12;22;-;987;110;10
08117009;Birenbach;561;6;16;3;486;50;-
08117010;Böhmenkirch;1606;40;32;6;1363;156;9
08117011;Börtlingen;542;-;12;-;425;105;-
08117012;Bad Boll;1296;25;44;6;989;232;-
08117014;Deggingen;1545;12;57;6;1251;219;-
08117015;Donzdorf;3024;15;93;9;2548;341;18
08117016;Drackenstein;133;-;7;-;106;20;-
08117017;Dürnau;591;0;11;-;508;66;6
08117018;Ebersbach an der Fils;3864;24;227;12;3127;459;15
08117019;Eislingen/Fils, Stadt;4179;45;325;18;3268;514;9
08117020;Eschenbach;520;-;0;-;463;53;4
08117023;Gammelshausen;406;-;12;4;343;47;-
08117024;Geislingen an der Steige, Stadt;5658;323;507;18;4017;787;6
08117025;Gingen an der Fils;1220;3;60;-;980;168;9
08117026;Göppingen, Stadt;11262;720;911;156;7997;1461;17
08117028;Gruibingen;648;6;17;-;511;111;3
08117029;Hattenhofen, Württ;849;31;28;27;543;220;-
08117030;Heiningen, Kr Göppingen;1346;43;24;6;1120;145;8
08117031;Hohenstadt;292;-;9;-;253;27;3
08117033;Kuchen;1505;6;63;-;1242;191;3
08117035;Mühlhausen im Täle;294;10;7;-;239;34;4
08117037;Ottenbach;705;3;9;3;627;60;3
08117038;Rechberghausen;1412;6;57;-;1118;231;-
08117042;Salach;1773;48;124;3;1414;175;9
08117043;Schlat;542;-;23;12;424;80;3
08117044;Schlierbach;1108;3;29;10;903;156;7
08117049;Süßen;2306;36;123;3;1879;265;-
08117051;Uhingen;3561;40;200;12;2771;538;0
08117053;Wäschenbeuren;1124;3;15;3;926;177;-
08117055;Wangen, Kr Göppingen;921;6;31;3;723;158;-
08117058;Wiesensteig;630;3;22;4;501;100;-
08117060;Zell unter Aichelberg;846;7;9;3;637;187;3
08117061;Lauterstein;812;6;36;-;638;129;3
08118001;Affalterbach;1402;6;13;3;1242;126;12
08118003;Asperg;2865;19;238;3;2272;333;-
08118006;Benningen am Neckar;1502;9;73;-;1290;127;3
08118007;Besigheim;2944;33;152;18;2315;415;11
08118010;Bönnigheim;1954;145;96;16;1445;246;6
08118011;Ditzingen, Stadt;5037;165;284;74;4075;431;8
08118012;Eberdingen;1853;27;33;16;1477;297;3
08118014;Erdmannhausen;1386;18;44;3;1146;169;6
08118015;Erligheim;751;45;35;15;539;114;3
08118016;Freudental;694;3;25;4;566;93;3
08118018;Gemmrigheim;1071;67;38;9;676;275;6
08118019;Gerlingen;3862;15;150;15;3239;440;3
08118021;Großbottwar;2273;18;76;16;1877;272;14
08118027;Hemmingen, Württ;1222;24;42;3;1051;99;3
08118028;Hessigheim;700;3;9;-;532;156;-
08118040;Kirchheim am Neckar;1303;7;30;3;1033;227;3
08118046;Kornwestheim, Stadt;4612;831;636;81;2631;430;3
08118047;Löchgau;1564;14;39;9;1284;215;3
08118048;Ludwigsburg, Stadt;14522;420;2011;322;10107;1637;25
08118049;Marbach am Neckar;3457;18;191;15;2674;547;12
08118050;Markgröningen;3032;96;115;36;2351;395;39
08118051;Möglingen;1744;32;69;9;1390;237;7
08118053;Mundelsheim;1036;3;16;9;770;234;4
08118054;Murr;1470;21;52;25;1261;111;-
08118059;Oberriexingen;952;3;12;9;781;147;-
08118060;Oberstenfeld;2340;40;46;23;2025;193;13
08118063;Pleidelsheim;1443;41;50;21;1196;135;-
08118067;Schwieberdingen;2241;27;98;12;1888;216;-
08118068;Sersheim;1363;-;32;-;1121;201;9
08118070;Steinheim an der Murr;3322;38;131;9;2800;344;-
08118071;Tamm;2696;59;90;30;1855;659;3
08118073;Vaihingen an der Enz, Stadt;7641;180;193;31;6023;1177;37
08118074;Walheim;861;-;23;4;630;200;4
08118076;Sachsenheim;4482;51;116;31;3630;639;15
08118077;Ingersheim;1520;4;27;12;1288;189;-
08118078;Freiberg am Neckar;3689;61;117;21;3124;363;3
08118079;Bietigheim-Bissingen, Stadt;8419;708;535;48;6426;673;29
08118080;Korntal-Münchingen;3318;58;245;37;2651;324;3
08118081;Remseck am Neckar, Stadt;5003;381;222;33;3849;496;22
08119001;Alfdorf;2056;7;35;9;1663;330;12
08119003;Allmersbach im Tal;1289;12;30;-;1115;128;4
08119004;Althütte;1288;-;18;6;1120;144;-
08119006;Auenwald;1960;9;42;3;1662;235;9
08119008;Backnang, Stadt;7238;79;439;79;5845;772;24
08119018;Burgstetten;958;-;23;-;798;137;-
08119020;Fellbach, Stadt;6833;100;1166;80;4766;694;27
08119024;Großerlach;797;-;17;-;606;161;13
08119037;Kaisersbach;749;-;10;3;609;121;6
08119038;Kirchberg an der Murr;1027;3;54;12;805;150;3
08119041;Korb;2373;13;139;-;1926;289;6
08119042;Leutenbach, Württ;2479;9;108;-;2156;200;6
08119044;Murrhardt;3368;39;209;7;2673;421;19
08119053;Oppenweiler;1191;3;30;6;1011;138;3
08119055;Plüderhausen;2261;0;44;9;1863;341;4
08119061;Rudersberg;3186;18;67;0;2628;461;12
08119067;Schorndorf, Stadt;8658;42;503;31;7072;992;18
08119068;Schwaikheim;1980;38;80;6;1615;234;7
08119069;Spiegelberg;715;16;15;6;566;106;6
08119075;Sulzbach an der Murr;1357;93;25;-;1071;158;10
08119076;Urbach, Rems;2309;22;48;10;1832;381;16
08119079;Waiblingen, Stadt;9688;307;921;68;7195;1176;21
08119083;Weissach im Tal;1949;6;35;-;1737;168;3
08119084;Welzheim;2583;19;77;6;2146;319;16
08119085;Winnenden, Stadt;5617;845;170;69;3936;572;25
08119086;Winterbach, b Schorndorf, Württ;1955;9;113;6;1657;158;12
08119087;Aspach, b Backnang;2220;15;64;6;1791;332;12
08119089;Berglen;1853;-;32;6;1547;259;9
08119090;Remshalden;3536;65;229;21;2850;368;3
08119091;Weinstadt, Stadt;5885;42;361;27;4866;571;18
08119093;Kernen im Remstal;3051;22;165;17;2504;333;10
08121000;Heilbronn, Stadtkreis;22041;404;2908;225;16879;1562;63
08125001;Abstatt;1273;3;27;6;1194;43;-
08125005;Bad Friedrichshall;4111;117;148;36;3235;551;24
08125006;Bad Rappenau, Stadt;5285;35;92;18;4573;545;22
08125007;Bad Wimpfen;1817;31;66;6;1546;165;3
08125008;Beilstein, Württ;1807;9;38;7;1542;202;9
08125013;Brackenheim;4285;22;130;7;3560;538;28
08125017;Cleebronn;822;3;15;3;655;134;12
08125021;Eberstadt;908;3;9;9;747;140;-
08125024;Ellhofen;978;12;15;-;851;96;4
08125026;Eppingen, Stadt;5570;37;107;18;4611;760;37
08125027;Erlenbach;1342;3;18;3;1099;215;4
08125030;Flein;1794;27;41;10;1637;70;9
08125034;Gemmingen;1342;9;39;9;1167;108;10
08125038;Güglingen;1548;56;38;6;1294;145;9
08125039;Gundelsheim, Württ;2108;12;45;7;1605;418;21
08125046;Ilsfeld;2454;18;112;12;2109;194;9
08125047;Ittlingen;661;15;21;3;536;80;6
08125048;Jagsthausen;546;3;3;3;385;149;3
08125049;Kirchardt;1485;21;43;3;1197;212;9
08125056;Lauffen am Neckar;2693;51;155;28;2113;336;10
08125057;Lehrensteinsfeld;716;-;15;6;618;71;6
08125058;Leingarten;2950;46;124;6;2600;165;9
08125059;Löwenstein;928;3;3;3;802;113;4
08125061;Massenbachhausen;1013;40;33;-;842;92;6
08125063;Möckmühl;1936;15;44;3;1556;304;14
08125065;Neckarsulm, Stadt;5610;471;363;40;4236;487;13
08125066;Neckarwestheim;973;3;13;6;809;129;13
08125068;Neudenau;1573;9;27;0;1291;240;6
08125069;Neuenstadt am Kocher;2596;12;95;12;2163;311;3
08125074;Nordheim, Württ;2097;34;82;-;1784;188;9
08125078;Oedheim;1714;12;27;6;1438;227;4
08125079;Offenau;720;13;26;3;579;99;-
08125081;Pfaffenhofen;770;-;6;-;583;175;6
08125084;Roigheim;447;11;13;3;314;100;6
08125086;Schwaigern;3070;27;87;17;2592;323;24
08125087;Siegelsbach;460;-;6;-;357;94;3
08125094;Talheim, Neckar;1448;21;40;6;1288;90;3
08125096;Untereisesheim;1076;27;16;13;967;53;-
08125098;Untergruppenbach;2385;22;35;-;2069;247;12
08125102;Weinsberg;2771;33;151;9;2328;243;7
08125103;Widdern;587;3;12;-;419;144;9
08125107;Wüstenrot;2105;3;23;19;1667;373;20
08125108;Zaberfeld;1367;-;14;6;1003;330;14
08125110;Obersulm;3859;18;70;12;3207;542;10
08125111;Hardthausen am Kocher;1151;21;13;-;917;197;3
08125113;Langenbrettach;1062;6;12;10;846;185;3
08126011;Bretzfeld;3432;34;42;19;2818;510;9
08126020;Dörzbach;717;6;9;3;543;137;19
08126028;Forchtenberg;1435;9;16;6;1194;203;7
08126039;Ingelfingen;1559;12;24;9;1226;279;9
08126045;Krautheim, Jagst;1350;13;35;4;961;315;22
08126046;Künzelsau;3495;61;94;14;2695;615;16
08126047;Kupferzell;1511;18;12;9;1139;315;18
08126056;Mulfingen;1155;3;18;6;892;230;6
08126058;Neuenstein, Württ;1811;9;25;-;1473;287;17
08126060;Niedernhall;1013;3;17;9;836;148;-
08126066;Öhringen, Stadt;5042;41;156;30;4025;770;20
08126069;Pfedelbach;2465;20;19;-;2068;342;16
08126072;Schöntal;1900;7;53;15;1379;431;15
08126085;Waldenburg, Württ;842;3;13;-;677;149;-
08126086;Weißbach, Württ;541;3;4;6;449;79;-
08126094;Zweiflingen;488;9;6;9;371;90;3
08127008;Blaufelden;1581;48;40;3;1118;351;21
08127009;Braunsbach;824;3;9;-;621;184;7
08127012;Bühlertann;823;3;24;4;667;125;-
08127013;Bühlerzell;702;6;7;6;544;136;3
08127014;Crailsheim, Stadt;7623;535;374;34;5694;965;21
08127023;Fichtenberg, Württ;860;6;12;3;736;97;6
08127025;Gaildorf;2904;33;133;6;2414;312;6
08127032;Gerabronn;1260;9;36;6;1003;194;12
08127043;Ilshofen;1617;12;19;6;1384;189;7
08127046;Kirchberg an der Jagst;1245;28;9;6;982;207;13
08127047;Langenburg;634;-;20;6;453;152;3
08127052;Mainhardt;1718;6;13;6;1367;311;15
08127056;Michelbach an der Bilz;940;6;17;3;868;46;-
08127059;Michelfeld;1001;40;10;3;832;116;-
08127062;Oberrot;1042;18;22;17;849;133;3
08127063;Obersontheim;1349;6;12;3;1103;216;9
08127071;Rot am See;1551;15;54;3;1212;252;15
08127073;Satteldorf;1512;16;10;9;1229;241;7
08127075;Schrozberg;1688;15;54;3;1194;412;10
08127076;Schwäbisch Hall, Stadt;8432;1100;412;28;6151;722;19
08127079;Sulzbach-Laufen;748;15;29;3;597;104;-
08127086;Untermünkheim;843;9;3;3;710;118;-
08127089;Vellberg;1258;10;19;7;1032;183;7
08127091;Wallhausen, Württ;996;11;16;9;788;172;-
08127099;Wolpertshausen;571;12;7;-;469;80;3
08127100;Rosengarten, Württ;1420;47;28;-;1177;162;6
08127101;Kreßberg;1178;-;14;-;912;243;9
08127102;Fichtenau;1404;13;27;9;1028;317;10
08127103;Frankenhardt;1393;32;27;9;1103;210;12
08127104;Stimpfach;860;7;13;6;714;117;3
08128006;Assamstadt;599;20;6;6;446;118;3
08128007;Bad Mergentheim, Stadt;5478;65;186;18;4614;538;57
08128014;Boxberg, Baden;2153;31;53;3;1469;575;22
08128020;Creglingen;1608;28;32;6;1174;350;18
08128039;Freudenberg, Baden;1209;3;20;3;865;307;11
08128045;Großrinderfeld;1231;18;21;3;826;350;13
08128047;Grünsfeld;1176;10;15;-;805;331;15
08128058;Igersheim;1425;18;47;-;1210;141;9
08128061;Königheim;1007;7;21;3;650;301;25
08128064;Külsheim;1670;9;36;3;1108;487;27
08128082;Niederstetten;1570;15;34;18;1182;312;9
08128115;Tauberbischofsheim;3592;37;132;7;2569;806;41
08128126;Weikersheim;2346;12;78;3;1963;272;18
08128128;Werbach;1151;3;15;10;659;441;23
08128131;Wertheim, Stadt;5825;440;447;16;4047;824;51
08128137;Wittighausen;512;6;-;3;355;132;16
08128138;Ahorn, Baden;805;7;10;6;483;285;14
08128139;Lauda-Königshofen;4242;42;133;12;3238;782;35
08135010;Dischingen;1495;17;17;18;1089;335;19
08135015;Gerstetten;3682;32;63;12;3073;486;16
08135016;Giengen an der Brenz, Stadt;4897;77;126;24;3939;714;17
08135019;Heidenheim an der Brenz, Stadt;11374;1183;544;47;8411;1176;13
08135020;Herbrechtingen;3600;50;96;42;3043;360;9
08135021;Hermaringen;727;9;11;-;645;62;-
08135025;Königsbronn;2088;20;51;3;1758;250;6
08135026;Nattheim;1730;18;39;3;1502;159;9
08135027;Niederstotzingen;1436;6;26;6;1208;181;9
08135031;Sontheim an der Brenz;1730;10;22;-;1515;171;12
