AGS;Name;Insgesamt;Fernheizung (Fernwärme);Etagenheizung;Blockheizung;Zentralheizung;Einzel-oder Mehrraumöfen;keine Heizung im Gebäude
01059177;Weesby;158;3;-;-;142;13;-
01059178;Westerholz;324;3;9;4;253;55;-
01059179;Lindewitt;688;142;14;26;485;21;-
01059182;Freienwill;522;19;19;-;458;26;-
01059183;Handewitt;3693;259;128;91;3074;141;-
01059184;Oeversee;1173;27;18;15;1066;47;-
01059185;Mittelangeln;-;-;-;-;-;-;-
01059186;Steinbergkirche;-;-;-;-;-;-;-
01059187;Boren;-;-;-;-;-;-;-
01060002;Alveslohe;853;48;10;0;764;31;-
01060003;Armstedt;144;3;3;-;131;7;-
01060004;Bad Bramstedt;3615;671;135;29;2702;78;-
01060005;Bad Segeberg;4587;290;170;22;4030;75;-
01060006;Bahrenhof;69;3;3;-;63;-;-
01060007;Bark;325;6;3;-;297;19;-
01060008;Bebensee;232;7;3;-;222;0;-
01060009;Bimöhlen;281;10;10;3;255;3;-
01060010;Blunk;206;6;0;3;188;9;-
01060011;Boostedt;1375;72;52;22;1207;22;-
01060012;Bornhöved;1127;62;26;12;982;45;-
01060013;Borstel;47;-;-;-;47;-;-
01060014;Buchholz b. Wahlstedt;-;x;x;x;x;x;x
01060015;Bühnsdorf;129;6;3;-;111;9;-
01060016;Daldorf;212;7;6;-;183;12;4
01060017;Damsdorf;77;-;4;-;73;-;-
01060018;Dreggers;13;-;-;-;13;-;-
01060019;Ellerau;1532;90;22;35;1369;16;-
01060020;Fahrenkrug;498;36;10;9;421;22;-
01060021;Föhrden-Barl;90;-;9;-;77;4;-
01060022;Fredesdorf;121;6;3;-;103;9;-
01060023;Fuhlendorf;143;10;-;-;118;15;-
01060024;Geschendorf;179;10;4;-;165;-;-
01060025;Glasau;288;10;3;-;266;9;-
01060026;Gönnebek;165;13;3;-;113;36;-
01060027;Großenaspe;885;27;21;7;801;29;-
01060028;Groß Kummerfeld;652;25;15;6;586;17;3
01060029;Groß Niendorf;217;13;6;-;192;6;-
01060030;Groß Rönnau;204;17;3;7;165;12;-
01060031;Hagen;171;3;6;-;162;-;-
01060033;Hardebek;174;3;6;-;149;16;-
01060034;Hartenholm;597;15;16;7;547;9;3
01060035;Hasenkrug;125;3;3;-;116;3;-
01060036;Hasenmoor;233;16;-;-;210;7;-
01060037;Heidmoor;94;3;-;-;91;-;-
01060038;Heidmühlen;242;3;9;-;203;27;-
01060039;Henstedt-Ulzburg;8050;347;218;80;7210;195;-
01060040;Hitzhusen;436;15;13;-;405;3;-
01060041;Högersdorf;114;10;6;-;95;3;-
01060042;Hüttblek;143;10;-;3;123;7;-
01060043;Itzstedt;759;283;6;7;448;15;-
01060044;Kaltenkirchen;4523;794;111;179;3396;40;3
01060045;Kattendorf;301;13;7;6;272;3;-
01060046;Kayhude;408;10;3;3;385;7;-
01060047;Kisdorf;1198;28;9;4;1144;13;-
01060048;Klein Gladebrügge;189;6;6;-;171;6;-
01060049;Klein Rönnau;525;19;7;3;476;17;3
01060050;Krems II;140;7;-;-;123;10;-
01060051;Kükels;155;3;-;-;128;24;-
01060052;Latendorf;215;12;6;9;184;4;-
01060053;Leezen;571;12;21;12;486;40;-
01060054;Lentföhrden;702;18;33;6;633;12;-
01060056;Mönkloh;90;3;-;-;84;3;-
01060057;Mözen;140;3;-;10;127;-;-
01060058;Nahe;798;18;20;3;745;12;-
01060059;Negernbötel;342;17;23;4;285;9;4
01060060;Nehms;221;6;6;3;175;31;-
01060061;Neuengörs;260;6;3;-;236;15;-
01060062;Neversdorf;264;6;9;-;237;12;-
01060063;Norderstedt;17535;1471;632;373;14853;199;7
01060064;Nützen;357;18;-;10;314;15;-
01060065;Oering;442;12;11;14;384;21;-
01060066;Oersdorf;325;7;6;3;296;13;-
01060067;Pronstorf;515;6;-;7;460;32;10
01060068;Rickling;799;28;25;15;695;33;3
01060069;Rohlstorf;403;15;9;6;344;29;-
01060070;Schackendorf;256;11;6;3;233;3;-
01060071;Schieren;99;4;4;-;79;12;-
01060072;Schmalensee;198;6;-;-;180;12;-
01060073;Schmalfeld;608;10;15;26;536;17;4
01060074;Schwissel;99;6;-;3;84;6;-
01060075;Seedorf;775;39;19;-;641;72;4
01060076;Seth;640;50;6;3;554;24;3
01060077;Sievershütten;387;17;7;-;347;16;-
01060079;Stipsdorf;63;-;-;3;57;3;-
01060080;Stocksee;184;14;-;3;154;13;-
01060081;Strukdorf;85;3;-;-;82;-;-
01060082;Struvenhütten;331;-;23;-;297;11;-
01060084;Stuvenborn;290;10;9;-;268;3;-
01060085;Sülfeld;1034;30;21;12;944;27;-
01060086;Tarbek;55;-;-;-;32;23;-
01060087;Tensfeld;230;7;-;-;210;13;-
01060088;Todesfelde;312;25;6;-;265;16;-
01060089;Trappenkamp;1227;452;30;20;677;48;-
01060090;Travenhorst;86;3;21;-;59;3;-
01060091;Traventhal;165;3;-;-;153;9;-
01060092;Wahlstedt;2528;1161;70;18;1237;42;-
01060093;Wakendorf I;145;9;3;-;127;6;-
01060094;Wakendorf II;438;9;3;-;416;10;-
01060095;Weddelbrook;322;13;9;3;288;9;-
01060096;Weede;348;3;7;-;320;18;-
01060097;Wensin;298;20;17;4;248;9;-
01060098;Westerrade;157;-;6;-;148;3;-
01060099;Wiemersdorf;512;26;9;7;437;33;-
01060100;Winsen;147;-;-;-;147;-;-
01060101;Wittenborn;300;9;6;3;276;6;-
01061001;Aasbüttel;37;-;-;-;37;-;-
01061002;Aebtissinwisch;22;-;-;-;22;0;-
