GENESIS-Tabelle: 036-02-5-B
Gebäude mit Wohnraum nach Anzahl der Wohnungen;;;;;;;
- Stichtag 09.05.2011;;;;;;;
regionale Ebenen;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;
Stichtag: 09.05.2011;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen
;;Insgesamt;1 Wohnung;2 Wohnungen;3 - 6 Wohnungen;7 - 12 Wohnungen;13 und mehr Wohnungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01053015;Bröthen;101;86;12;3;-;-
01053016;Brunsmark;84;78;6;-;-;-
01053017;Brunstorf;207;178;19;6;4;-
01053018;Buchholz;94;72;15;7;-;-
01053019;Buchhorst;57;50;4;3;-;-
01053020;Büchen;1715;1376;179;132;28;-
01053021;Dahmker;60;53;7;-;-;-
01053022;Dalldorf;142;125;13;4;-;-
01053023;Dassendorf;1095;929;134;29;3;-
01053024;Düchelsdorf;56;43;13;-;-;-
01053025;Duvensee;159;131;20;8;-;-
01053026;Einhaus;135;112;16;7;-;-
01053027;Elmenhorst;261;194;42;22;3;-
01053028;Escheburg;1026;835;105;58;28;-
01053029;Fitzen;164;145;16;3;-;-
01053030;Fredeburg;10;10;-;-;-;-
01053031;Fuhlenhagen;81;62;15;4;-;-
01053032;Geesthacht;7110;5285;709;638;404;74
01053033;Giesensdorf;46;37;9;-;-;-
01053034;Göldenitz;79;65;11;3;-;-
01053035;Göttin;32;32;-;-;-;-
01053036;Grabau;111;94;17;-;-;-
01053037;Grambek;172;153;15;4;-;-
01053038;Grinau;80;68;9;3;-;-
01053039;Groß Boden;76;70;6;-;-;-
01053040;Groß Disnack;31;28;3;-;-;-
01053041;Groß Grönau;1354;1168;130;53;3;-
01053042;Groß Pampau;52;45;4;3;-;-
01053043;Groß Sarau;327;279;29;16;3;-
01053044;Groß Schenkenberg;183;165;15;3;-;-
01053045;Grove;91;75;16;-;-;-
01053046;Gudow;640;557;64;19;-;-
01053047;Gülzow;393;295;73;18;7;-
01053048;Güster;623;554;54;15;-;-
01053049;Hamfelde;180;130;32;15;3;-
01053050;Hamwarde;251;183;59;9;-;-
01053051;Harmsdorf;97;75;19;3;-;-
01053052;Havekost;52;27;13;12;-;-
01053053;Hohenhorn;169;128;23;18;-;-
01053054;Hollenbek;165;132;26;7;-;-
01053056;Hornbek;80;64;13;3;-;-
01053057;Horst;95;77;9;9;-;-
01053058;Juliusburg;57;40;17;-;-;-
01053059;Kankelau;64;51;9;4;-;-
01053060;Kasseburg;181;159;15;7;-;-
01053061;Kastorf;397;335;44;18;-;-
01053062;Kittlitz;100;76;14;10;-;-
01053064;Klein Pampau;210;176;31;3;-;-
01053066;Klein Zecher;98;79;16;3;-;-
01053067;Klempau;224;192;20;12;-;-
01053068;Klinkrade;193;144;33;13;3;-
01053069;Koberg;254;197;42;15;-;-
01053070;Köthel;93;79;8;3;3;-
01053071;Kollow;205;163;33;9;-;-
01053072;Kröppelshagen-Fahrendorf;404;339;59;6;-;-
01053073;Krüzen;112;102;10;-;-;-
01053074;Krukow;56;43;10;3;-;-
01053075;Krummesse;606;511;76;19;-;-
01053076;Kuddewörde;447;370;65;12;-;-
01053077;Kühsen;132;94;20;18;-;-
01053078;Kulpin;67;51;13;3;-;-
01053079;Labenz;271;233;35;3;-;-
01053080;Langenlehsten;51;39;6;6;-;-
01053081;Lankau;183;144;30;9;-;-
01053082;Lanze;99;87;3;9;-;-
01053083;Lauenburg/Elbe;3155;2344;385;330;80;16
01053084;Lehmrade;148;110;27;11;-;-
01053085;Linau;422;338;65;19;-;-
01053086;Lüchow;100;72;25;3;-;-
01053087;Lütau;219;144;63;12;-;-
01053088;Mechow;36;27;6;3;-;-
01053089;Möhnsen;170;127;28;12;3;-
01053090;Mölln;5177;3973;496;498;173;37
01053091;Mühlenrade;66;54;3;6;3;-
01053092;Müssen;362;298;55;9;-;-
01053093;Mustin;269;216;50;3;-;-
01053094;Niendorf bei Berkenthin;64;57;7;-;-;-
01053095;Niendorf/Stecknitz;216;175;32;9;-;-
01053096;Nusse;358;295;47;13;3;-
01053097;Panten;290;253;28;6;3;-
01053098;Pogeez;146;116;18;12;-;-
01053099;Poggensee;113;84;25;4;-;-
01053100;Ratzeburg;3718;2881;271;399;125;42
01053101;Ritzerau;96;74;19;3;-;-
01053102;Römnitz;23;23;-;-;-;-
01053103;Rondeshagen;263;215;32;13;3;-
01053104;Roseburg;199;152;27;20;-;-
01053105;Sachsenwald;-;x;x;x;x;x
01053106;Sahms;127;118;6;3;-;-
01053107;Salem;289;245;35;9;-;-
01053108;Sandesneben;549;453;78;18;-;-
